,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
CL=F,0.4456516206406838,-0.1017998301275514,0.6624690441050659,-0.08683280360752849,-0.0839352101311185,0.059213701586244415,-0.1538647330871929,0.4059520471741361,-0.1438983023724795,0.026172627393551164
BZ=F,0.4685508687010898,-0.12349651227088364,0.6691511723102473,-0.08561535129532238,-0.07019644672159893,0.07411583302532727,-0.15365204167787616,0.3740413202427843,-0.12611298186171338,0.02927585846044098
NG=F,0.1054986988700616,-0.03047703116741354,0.10973905114616789,0.019385497656190038,-0.18338163419198095,-0.25137135801462224,0.8694256233983721,0.2991858424768914,0.17103360876793058,-0.0077845887299036335
GC=F,0.1847632513366799,0.8057939519142062,0.08024210041025252,-0.07972775535566202,-0.1886982745790634,-0.04774342108208869,-0.026795010967795078,-0.02862286613353952,0.07049225542599086,0.34412933516359506
SI=F,0.31363029327597225,0.7180914195363695,0.07052557983105565,-0.038619893899599946,-0.022106639106663106,-0.05291247077643992,-0.055882927305095864,0.020689532942311586,0.1278263332879343,0.45818638165713194
HG=F,0.429622499955584,0.34387629290275706,0.10900907329985336,0.10679322358160251,0.5839950969683322,-0.09368570735879363,0.023543359776664455,0.13878696998394024,-0.11295444198825824,0.2214389419508744
ZC=F,0.12391545795392167,0.059255878817620664,0.29640577272948965,0.7975263197540474,-0.11592069151179867,-0.019205544416724448,-0.02972416812648335,-0.07022878338422538,0.045733101786953334,-0.03297242733961865
ZW=F,0.09368594489820099,0.07552656779563677,0.27296872124548216,0.700013843166761,-0.1605455393950338,-0.046221762139748435,-0.07022651447533403,-0.06561962770272874,0.04034869143842297,-0.11004600390566091
ZS=F,0.2016842927711006,0.09169883669892526,0.26871139387549686,0.6966968768634166,-0.003384277225860036,-0.000853439780198762,0.02890169437165999,-0.030075616787145234,-0.04990913776246753,0.08305734034431883
XLE,0.8341728862374331,-0.21454141138446448,0.3823990477160936,-0.12954840919698454,-0.06495424534393428,-0.03707712455803702,0.046097574700152896,-0.16121996491140475,-0.026850971913602396,-0.0008043183306512929
XLB,0.880175442722973,0.014080937108283814,-0.21981501789308427,0.032176248845506815,0.01829242064405053,-0.012684661308679419,0.03237113502322472,-0.06635788736701093,0.035161162647484215,-0.04198061077854063
XLI,0.8713027814760756,-0.15129860019383312,-0.3040791534863727,0.04730106422697446,-0.045481880004388034,-0.0021591441801832203,0.008602760910508664,-0.07599836260509021,0.008731436300003349,0.03874516305917123
GDX,0.374071651153159,0.8207734459897865,0.05583454642890201,-0.121300751515257,-0.19489079279711363,0.026317105789260817,-0.045829790323728366,-0.02491404602359227,0.11084028569701447,-0.20945520106808346
SIL,0.4491010237368017,0.7910340466798781,0.024830168404014925,-0.0944363846962479,-0.12655086265589685,0.020972405801083987,-0.038567792590106766,-0.010944866516037486,0.11740069515281396,-0.13071879862267394
JETS,0.6831622530467242,-0.12870330342034084,-0.3459670786820951,0.054497347144030185,0.04749471376222321,-0.024882333392679826,0.06036089509461065,-0.2740870981010908,-0.07202828979931156,0.055046456291427646
IYT,0.8129062318480819,-0.17502476965535052,-0.3416850503367076,0.05046396418822907,-0.007689432702350938,-0.0031834453721793325,0.017042271561638598,-0.10676124854146675,-0.015486079302574039,0.0323634232695072
XOM,0.7206803004911477,-0.20658634741902152,0.3876370364755136,-0.1461248411471572,-0.07995582867945329,-0.061188700843834154,0.026481530974217637,-0.18439638945098236,-0.022722737692461803,0.029831138738893318
CVX,0.7569110341966916,-0.18629973526258642,0.3328766265632223,-0.1311677626648261,-0.08355509808501664,-0.04484432881236518,0.05497637085848288,-0.17633197937013315,-0.055408984543711105,0.004225717183828762
FCX,0.738189635044119,0.22895596735945256,0.01980102525822942,0.03535329507996773,0.3708316253367072,-0.010697514408125901,0.044137701679024144,0.025174958122749738,0.04923069210733462,-0.1901614031941021
NEM,0.3613542488607678,0.7401250944111585,0.03996757400648385,-0.1149796150780135,-0.1866044583456151,0.0585169984280198,-0.06307017120158444,-0.052648805036995094,0.21464855397569843,-0.25402638914276965
APA,0.6908225566533582,-0.22446617267342173,0.4411159698654092,-0.1281808645879505,-0.035747964122964174,-0.002644342118969662,0.011928064716250046,-0.12713440868082806,0.019364820072267332,0.013626701913896042
OXY,0.6772524057737719,-0.23509272609792808,0.44353855868661135,-0.14573706368522502,-0.06427706415005936,0.010787165707395012,0.00776903327173323,-0.202365991078966,0.04631778501517309,0.02285022920799824
TECK,0.6794975997667828,0.20298105361122454,0.09184977831950199,0.017605328564593715,0.3871811757722834,-0.003017228717331169,0.05295499642807813,0.03505921111060854,0.014817212813676216,-0.25910748816951074
SM,0.6392477854119266,-0.22099966262740325,0.4620742138696998,-0.1217076748326285,-0.022187934619282392,0.016991841600231983,0.010543751951315688,-0.04966174424494769,-0.01978442007154275,-0.04277126149137737
TGB,0.5224632226121172,0.3209531015552477,0.03125792989706892,0.025976348554687455,0.44389073283189096,-0.042945534570614924,0.02594914970771746,0.09374369466145809,0.0003969600280933924,-0.1315673615853224
GORO,0.05709333386892624,0.08403820252912314,0.05008655481574803,0.059535420913757645,0.04026980047774224,0.9403781576451206,0.2868124835023627,-0.03763122499969662,-0.004333675387408416,0.06643231751027392
SPY,0.8705927843425895,-0.1259472015336072,-0.3767076804446358,0.04705155402795958,-0.13217372893552035,0.023716419929888852,-0.04089364384765719,0.1458404097514484,-0.019341196402146422,0.037181779126922755
QQQ,0.7378404223377677,-0.06933769966336618,-0.44591726365048784,0.07492453343188747,-0.14768019260712292,0.039334127091788594,-0.0839195923252393,0.304582473308848,-0.03538082526596049,0.03927481216877514
IWM,0.8671248932211489,-0.11170043225896459,-0.3180941959941675,0.02255999479668317,-0.06825678120091545,-0.008174060872797165,-0.01346966224296365,-0.039865911342639455,-0.03144616056916304,0.02045375337083728
IJH,0.8956247520558822,-0.13503672290711116,-0.3130169361175716,0.021852798284791773,-0.07344969505971824,-0.012363708536867744,0.0031976245135078023,-0.046570274108237754,-0.017548801457177195,0.023002251245280783
MGC,0.8511713478365796,-0.12230367512366871,-0.3860170755346571,0.05127924276642316,-0.1373597027247157,0.026865549003466573,-0.0485303363701403,0.172112477615614,-0.02071562238463445,0.04173996828375862
^VIX,-0.6701199605755312,0.10152940355072851,0.33841374330124324,-0.09195309466693745,0.05908692384557688,-0.06156600520059012,0.08819666630515728,-0.29361019203943417,0.02945571206058808,0.04545182196397547
DX-Y.NYB,-0.18361059304313632,-0.516376172856946,0.022070834779770718,-0.012949382477209045,-0.04036038985191382,0.040126010399670446,-0.20694336421257686,0.18499776370060877,0.5795173444990371,-0.10442551265386647
^TNX,0.31932478467400033,-0.3991602002272785,0.0969367494650616,0.04387988373264675,0.28074401034256047,0.04144527414798776,-0.05425716326466377,-0.038205352061738,0.5782390438750328,0.23385251153468048
