asset,alpha,r_squared,adj_r_squared,aic,bic,beta_CL=F,beta_BZ=F,beta_^VIX,beta_DX-Y.NYB,beta_^TNX,beta_SPY,pvalue_CL=F,pvalue_BZ=F,pvalue_^VIX,pvalue_DX-Y.NYB,pvalue_^TNX,pvalue_SPY,nw_pvalue_CL=F,nw_pvalue_BZ=F,nw_pvalue_^VIX,nw_pvalue_DX-Y.NYB,nw_pvalue_^TNX,nw_pvalue_SPY
XOM,-7.1e-05,0.5233,0.5227,-28972.44,-28927.11,0.0856,0.1594,0.0097,0.0135,0.0436,0.7478,0.003756,0.0,0.091551,0.760898,0.000596,0.0,0.003756,0.0,0.091551,0.760898,0.000596,0.0
CVX,-6.9e-05,0.5719,0.5713,-28845.67,-28800.34,0.1039,0.158,0.0202,-0.0455,0.02,0.9153,0.009217,2e-06,0.004494,0.270355,0.29547,0.0,0.009217,2e-06,0.004494,0.270355,0.29547,0.0
FCX,-0.000347,0.4487,0.448,-21710.47,-21665.14,0.0624,0.1975,-0.0201,-1.2551,0.0729,1.2941,0.22787,0.000192,0.013081,0.0,0.002355,0.0,0.22787,0.000192,0.013081,0.0,0.002355,0.0
NEM,0.000164,0.1815,0.1805,-22719.84,-22674.51,0.0402,0.0696,-0.0015,-1.3407,-0.1319,0.4792,0.281055,0.104465,0.869998,0.0,0.0,0.0,0.281055,0.104465,0.869998,0.0,0.0,0.0
APA,-0.000607,0.4711,0.4705,-22129.5,-22084.17,0.1369,0.4588,0.0136,0.071,0.1266,1.0519,0.002007,0.0,0.189023,0.527631,0.002549,0.0,0.002007,0.0,0.189023,0.527631,0.002549,0.0
OXY,-0.000366,0.4942,0.4935,-23792.17,-23746.84,0.1277,0.3483,0.0264,-0.058,0.1214,1.0576,0.005335,0.0,0.001986,0.582078,0.007656,0.0,0.005335,0.0,0.001986,0.582078,0.007656,0.0
TECK,-0.000412,0.4086,0.4078,-20380.51,-20335.18,0.1062,0.223,-0.0135,-1.3238,0.06,1.3517,0.078033,0.000311,0.203533,0.0,0.113322,0.0,0.078033,0.000311,0.203533,0.0,0.113322,0.0
SM,-0.000519,0.4309,0.4302,-18767.35,-18722.02,0.3836,0.488,-0.0016,0.0812,0.1454,1.0662,4.3e-05,2e-06,0.889925,0.611554,0.053343,0.0,4.3e-05,2e-06,0.889925,0.611554,0.053343,0.0
TGB,-0.000228,0.2355,0.2346,-18040.32,-17994.99,0.1362,0.131,-0.0377,-1.754,0.049,0.8963,0.018606,0.036832,0.006955,0.0,0.124294,0.0,0.018606,0.036832,0.006955,0.0,0.124294,0.0
GORO,-0.000485,0.007,0.0055,-4090.6,-4046.77,-0.2075,0.4749,-0.0419,-2.0806,0.0474,-0.1679,0.350542,0.049975,0.476982,0.000124,0.690247,0.778319,0.350542,0.049975,0.476982,0.000124,0.690247,0.778319
XLE,-0.000187,0.6804,0.68,-29751.4,-29706.07,0.1012,0.2153,0.0112,-0.1027,0.0496,0.9481,0.003837,0.0,0.013737,0.008543,0.001934,0.0,0.003837,0.0,0.013737,0.008543,0.001934,0.0
XLB,-9.7e-05,0.7535,0.7532,-33343.7,-33298.37,0.0078,0.0276,-0.0039,-0.402,0.032,0.9472,0.600365,0.068157,0.167816,0.0,0.0,0.0,0.600365,0.068157,0.167816,0.0,0.0,0.0
XLI,-7e-06,0.8216,0.8213,-35810.93,-35765.6,-0.0058,0.0063,-0.0025,-0.0983,0.0369,0.9505,0.612744,0.570248,0.425289,1e-05,1e-06,0.0,0.612744,0.570248,0.425289,1e-05,1e-06,0.0
GDX,9.1e-05,0.251,0.25,-22637.09,-22591.76,0.0996,0.06,-0.0062,-1.7957,-0.1821,0.451,0.043219,0.228432,0.536256,0.0,0.0,1e-06,0.043219,0.228432,0.536256,0.0,0.0,1e-06
SIL,5.4e-05,0.266,0.265,-19681.9,-19637.64,0.093,0.0351,-0.0256,-1.9816,-0.1403,0.5123,0.01167,0.389304,0.010011,0.0,0.0,0.0,0.01167,0.389304,0.010011,0.0,0.0,0.0
JETS,-0.000524,0.4494,0.4482,-15604.56,-15562.88,-0.017,-0.0644,-0.0094,-0.4378,0.0702,1.1621,0.744215,0.11062,0.189403,5e-06,0.161682,0.0,0.744215,0.11062,0.189403,5e-06,0.161682,0.0
IYT,-8.9e-05,0.7001,0.6997,-32066.12,-32020.79,-0.0272,0.0045,-0.0069,-0.0355,0.0396,0.9976,0.059987,0.744778,0.099884,0.310868,5.8e-05,0.0,0.059987,0.744778,0.099884,0.310868,5.8e-05,0.0
