ticker,name,sector,cap_tier,proximity_level,in_degree,out_degree,net_flow,betweenness,pagerank
SM,SM Energy,Energy,small,1,18.1685,0.0,-18.1685,0.0,0.034290364938011346
TECK,Teck Resources,Metals,mid,1,5.8251,0.0,-5.8251,0.0,0.03048854776542616
CVX,Chevron,Energy,mega,1,5.393,0.0,-5.393,0.0,0.03035545921605775
APA,APA Corp,Energy,mid,1,4.6306,0.0,-4.6306,0.0,0.03012063692946095
GORO,Gold Resource Corp,Metals,small,1,4.5625,0.0,-4.5625,0.0,0.030099661853756277
XOM,Exxon Mobil,Energy,mega,1,4.2902,0.0,-4.2902,0.0,0.030015792351342437
TGB,Taseko Mines,Metals,small,1,4.0975,0.0,-4.0975,0.0,0.029956439971191334
XLI,Industrial Select Sector SPDR,Industrials,,4,4.027,0.0,-4.027,0.0,0.0299347256857702
OXY,Occidental Petroleum,Energy,mid,1,3.926,0.0,-3.926,0.0,0.029903617276868997
NEM,Newmont,Metals,mega,1,3.772,0.0,-3.772,0.0,0.029856184653395873
JETS,US Global Jets ETF,Aviation,,5,3.6877,0.0,-3.6877,0.0,0.029830219912105067
IYT,iShares Transportation Average ETF,Transportation,,4,3.0709,0.0,-3.0709,0.0,0.029640243014973765
XLB,Materials Select Sector SPDR,Materials,,2,3.0483,0.0,-3.0483,0.0,0.02963328212347706
FCX,Freeport-McMoRan,Metals,mega,1,2.9991,0.0,-2.9991,0.0,0.02961812832428954
XLE,Energy Select Sector SPDR,Energy,,1,2.759,0.0,-2.759,0.0,0.029544176552238267
GDX,VanEck Gold Miners ETF,Metals,,1,2.617,0.0,-2.617,0.0,0.02950043997734747
SIL,Global X Silver Miners ETF,Metals,,1,2.3149,0.0,-2.3149,0.0,0.029407391954287536
CL=F,WTI Crude Oil,Energy,,0,0.0,79.1893,79.1893,0.0,0.028694393382352943
BZ=F,Brent Crude Oil,Energy,,0,0.0,0.0,0.0,0.0,0.028694393382352943
HG=F,Copper,Metals,,0,0.0,0.0,0.0,0.0,0.028694393382352943
SI=F,Silver,Metals,,0,0.0,0.0,0.0,0.0,0.028694393382352943
NG=F,Natural Gas,Energy,,0,0.0,0.0,0.0,0.0,0.028694393382352943
ZW=F,Wheat,Agriculture,,0,0.0,0.0,0.0,0.0,0.028694393382352943
ZC=F,Corn,Agriculture,,0,0.0,0.0,0.0,0.0,0.028694393382352943
ZS=F,Soybeans,Agriculture,,0,0.0,0.0,0.0,0.0,0.028694393382352943
GC=F,Gold,Metals,,0,0.0,0.0,0.0,0.0,0.028694393382352943
SPY,S&P 500 ETF,Broad Market,mega,6,0.0,0.0,0.0,0.0,0.028694393382352943
QQQ,NASDAQ-100 ETF,Tech,mega,6,0.0,0.0,0.0,0.0,0.028694393382352943
IWM,Russell 2000 ETF,Broad Market,small,6,0.0,0.0,0.0,0.0,0.028694393382352943
IJH,S&P 400 Mid Cap ETF,Broad Market,mid,6,0.0,0.0,0.0,0.0,0.028694393382352943
MGC,Vanguard Mega Cap ETF,Broad Market,mega,6,0.0,0.0,0.0,0.0,0.028694393382352943
^VIX,CBOE Volatility Index,Volatility,,-1,0.0,0.0,0.0,0.0,0.028694393382352943
DX-Y.NYB,US Dollar Index,FX,,-1,0.0,0.0,0.0,0.0,0.028694393382352943
^TNX,10-Year Treasury Yield,Rates,,-1,0.0,0.0,0.0,0.0,0.028694393382352943
