,Mean (ann.),Median,Vol (ann.),Skewness,Excess Kurtosis,Min,Max,P5,P95,Sharpe,Sortino,Max Drawdown,Hit Rate,VaR 95%,CVaR 95%
CL=F,0.06004324678583725,0.001034887245911898,0.41679473758270363,-0.09556184934130194,15.405807558464613,-0.2822061341074851,0.3196336300150674,-0.038742893370205596,0.03667919240295579,0.14405951268500122,0.19048227797560224,-0.9566587083765812,0.5064896315082799,-0.038742893370205596,-0.06061356260747651
BZ=F,0.008400908714940805,0.0005884237476141602,0.3845117589479246,-0.7835052308983221,11.865669943288808,-0.2797614880948595,0.19077403911622495,-0.038050479086478635,0.03433791078251569,0.021848249161291737,0.02690994279815226,-0.9455777846220534,0.3669998508130688,-0.038050479086478635,-0.059710965842266844
NG=F,-0.01962842426396492,-0.0002688834126313458,0.610346777460783,-0.30975100138557005,18.283117474828625,-0.6439741041882078,0.3817267493869264,-0.05725824701157603,0.057427790880910226,-0.03215946243809916,-0.045596004765349814,-0.9981107631968639,0.4806802924063852,-0.05725824701157603,-0.08404712366675637
GC=F,0.10773197004660963,0.0004800337607881239,0.17892970546413897,-0.4794487873540516,6.716700662467822,-0.1206569177115754,0.08643165666030359,-0.017852930276454126,0.017254941889352005,0.6020910265690972,0.7835848569352379,-0.4837267960452763,0.5127554826197225,-0.017852930276454126,-0.026959583597762033
SI=F,0.10060255929171379,0.0010004574150225144,0.3351574136176382,-1.4885543564193389,21.005108348530303,-0.37610308700481104,0.13124985761761132,-0.032378424022433606,0.03134945252829124,0.3001651021405884,0.3540338175963925,-0.8360713747870728,0.5139489780695211,-0.032378424022433606,-0.052899742863254585
HG=F,0.07724490333791147,0.0002222944527956027,0.2730293172946931,-0.6027764894285395,10.861791558394708,-0.25171204689975507,0.12443711051778991,-0.026284291525409138,0.0265846235504447,0.2829179814947766,0.37874293560907596,-0.7521935409072393,0.49037744293599883,-0.026284291525409138,-0.039990350562607815
ZC=F,0.042062095129862885,0.0,0.28266581333554086,-0.871268180874003,14.165568117630471,-0.2686204293002889,0.12757104202254638,-0.02580313779104637,0.02805598493868728,0.14880503104891823,0.19986488448145517,-0.7718831569325847,0.47530956288229154,-0.02580313779104637,-0.04058487888592416
ZW=F,0.044784512843242384,-0.0004242057149118102,0.3214818276282173,0.31702707594500734,3.163667170627761,-0.11297091735428472,0.1970139123642675,-0.029827178878724537,0.03351673804309858,0.13930651437951302,0.22824497139221075,-0.8545129551386628,0.46665672087125165,-0.029827178878724537,-0.04226131678783328
ZS=F,0.0370301579759599,0.0006422607799453943,0.2499880498311803,-0.9152232554747719,16.61508395249608,-0.23410949840213394,0.20320933641339248,-0.02302780642072172,0.02358254134092109,0.148127712508525,0.18498959954343752,-0.6777979763815916,0.5008205281217365,-0.02302780642072172,-0.03817540852871414
XLE,0.08457853921338468,0.0008086684067300412,0.28875114836464977,-0.6497842530842974,12.215620885901666,-0.22490986890832979,0.15250303166531762,-0.027953539339459075,0.02651695473060137,0.292911525001364,0.3730764927179551,-0.7926896512029972,0.5221542592868865,-0.027953539339459075,-0.043004999429688696
