ticker,level_adf_p,return_adf_p,integration_order
CL=F,0.038656375221665984,2.337022513408814e-27,0
BZ=F,0.041147481963255385,4.500646712800715e-25,0
NG=F,0.021301874006406513,0.0,0
GC=F,0.9984317649553309,0.0,1
SI=F,0.8711768847183496,0.0,1
HG=F,0.8256395934508235,0.0,1
ZC=F,0.1579461116744167,1.1342409021218861e-29,1
ZW=F,0.05589873265379656,2.4803623798458706e-30,1
ZS=F,0.1409149870423685,0.0,1
XLE,0.9938627641428518,0.0,1
XLB,0.9965427461796817,0.0,1
XLI,1.0,0.0,1
GDX,0.9726912624283518,0.0,1
SIL,0.8550912617720077,0.0,1
JETS,0.06313266724631865,8.022392022320781e-26,1
IYT,0.9884517908682521,2.027623943111126e-30,1
XOM,0.9981377107910228,0.0,1
CVX,0.9955077149156295,0.0,1
FCX,0.9125422717310557,0.0,1
NEM,0.9944532860031452,0.0,1
APA,0.24307871972880557,0.0,1
OXY,0.2603992527853473,7.92740456424692e-28,1
TECK,0.8158197810421031,3.526310621864275e-24,1
SM,0.12394439677398233,1.1052933020576058e-24,1
TGB,0.9075790695036828,0.0,1
GORO,0.0004514363717568104,3.79955346466858e-20,0
SPY,1.0,0.0,1
QQQ,1.0,0.0,1
IWM,0.9965980427370668,2.3361909860850823e-30,1
IJH,0.9984812646425016,2.143493154506079e-30,1
MGC,1.0,3.971829565261161e-30,1
^VIX,3.593394773032032e-08,0.0,0
DX-Y.NYB,0.4438337596557294,0.0,1
^TNX,0.11788291409017926,5.333389392881462e-25,1
