,ticker,test,statistic,pvalue,crit_1%,crit_5%,crit_10%,reject_null,conclusion
0,CL=F,ADF,-14.7692,0.0,-3.4314,-2.862,-2.567,True,Stationary (I(0))
1,CL=F,KPSS,0.036,0.1,0.739,0.463,0.347,False,Stationary
2,CL=F,PP,-82.1328,0.0,-3.4314,-2.862,-2.567,True,Stationary
3,BZ=F,ADF,-13.4044,0.0,-3.4317,-2.8621,-2.5671,True,Stationary (I(0))
4,BZ=F,KPSS,0.0444,0.1,0.739,0.463,0.347,False,Stationary
5,BZ=F,PP,-70.5731,0.0,-3.4317,-2.8621,-2.5671,True,Stationary
6,NG=F,ADF,-23.9474,0.0,-3.4314,-2.862,-2.567,True,Stationary (I(0))
7,NG=F,KPSS,0.0198,0.1,0.739,0.463,0.347,False,Stationary
8,NG=F,PP,-87.4504,0.0,-3.4314,-2.862,-2.567,True,Stationary
9,GC=F,ADF,-32.5054,0.0,-3.4314,-2.862,-2.567,True,Stationary (I(0))
10,GC=F,KPSS,0.1392,0.1,0.739,0.463,0.347,False,Stationary
11,GC=F,PP,-82.7148,0.0,-3.4314,-2.862,-2.567,True,Stationary
12,SI=F,ADF,-20.5225,0.0,-3.4314,-2.862,-2.567,True,Stationary (I(0))
13,SI=F,KPSS,0.0859,0.1,0.739,0.463,0.347,False,Stationary
14,SI=F,PP,-83.8206,0.0,-3.4314,-2.862,-2.567,True,Stationary
15,HG=F,ADF,-22.4496,0.0,-3.4314,-2.862,-2.567,True,Stationary (I(0))
16,HG=F,KPSS,0.094,0.1,0.739,0.463,0.347,False,Stationary
17,HG=F,PP,-86.538,0.0,-3.4314,-2.862,-2.567,True,Stationary
18,ZC=F,ADF,-16.843,0.0,-3.4313,-2.862,-2.567,True,Stationary (I(0))
19,ZC=F,KPSS,0.0696,0.1,0.739,0.463,0.347,False,Stationary
20,ZC=F,PP,-79.6859,0.0,-3.4313,-2.862,-2.567,True,Stationary
21,ZW=F,ADF,-18.148,0.0,-3.4313,-2.862,-2.567,True,Stationary (I(0))
22,ZW=F,KPSS,0.0478,0.1,0.739,0.463,0.347,False,Stationary
23,ZW=F,PP,-81.146,0.0,-3.4313,-2.862,-2.567,True,Stationary
24,ZS=F,ADF,-25.9135,0.0,-3.4314,-2.862,-2.567,True,Stationary (I(0))
25,ZS=F,KPSS,0.0659,0.1,0.739,0.463,0.347,False,Stationary
26,ZS=F,PP,-81.1511,0.0,-3.4314,-2.862,-2.567,True,Stationary
27,XLE,ADF,-20.2417,0.0,-3.4313,-2.862,-2.567,True,Stationary (I(0))
28,XLE,KPSS,0.054,0.1,0.739,0.463,0.347,False,Stationary
29,XLE,PP,-86.0388,0.0,-3.4313,-2.862,-2.567,True,Stationary
30,XLB,ADF,-19.229,0.0,-3.4313,-2.862,-2.567,True,Stationary (I(0))
31,XLB,KPSS,0.0446,0.1,0.739,0.463,0.347,False,Stationary
32,XLB,PP,-85.2755,0.0,-3.4313,-2.862,-2.567,True,Stationary
33,XLI,ADF,-19.328,0.0,-3.4313,-2.862,-2.567,True,Stationary (I(0))
34,XLI,KPSS,0.1678,0.1,0.739,0.463,0.347,False,Stationary
35,XLI,PP,-85.13,0.0,-3.4313,-2.862,-2.567,True,Stationary
36,GDX,ADF,-32.8789,0.0,-3.4316,-2.8621,-2.5671,True,Stationary (I(0))
37,GDX,KPSS,0.213,0.1,0.739,0.463,0.347,False,Stationary
38,GDX,PP,-73.888,0.0,-3.4316,-2.8621,-2.5671,True,Stationary
39,SIL,ADF,-63.5192,0.0,-3.4319,-2.8622,-2.5671,True,Stationary (I(0))
40,SIL,KPSS,0.2087,0.1,0.739,0.463,0.347,False,Stationary
41,SIL,PP,-63.5597,0.0,-3.4319,-2.8622,-2.5671,True,Stationary
42,JETS,ADF,-13.8174,0.0,-3.4327,-2.8626,-2.5673,True,Stationary (I(0))
43,JETS,KPSS,0.0503,0.1,0.739,0.463,0.347,False,Stationary
44,JETS,PP,-52.2583,0.0,-3.4326,-2.8626,-2.5673,True,Stationary
45,IYT,ADF,-18.7513,0.0,-3.4315,-2.862,-2.567,True,Stationary (I(0))
46,IYT,KPSS,0.0206,0.1,0.739,0.463,0.347,False,Stationary
47,IYT,PP,-79.1341,0.0,-3.4315,-2.862,-2.567,True,Stationary
48,XOM,ADF,-19.9087,0.0,-3.4313,-2.862,-2.567,True,Stationary (I(0))
49,XOM,KPSS,0.0763,0.1,0.739,0.463,0.347,False,Stationary
50,XOM,PP,-88.5671,0.0,-3.4313,-2.862,-2.567,True,Stationary
51,CVX,ADF,-19.8276,0.0,-3.4313,-2.862,-2.567,True,Stationary (I(0))
52,CVX,KPSS,0.0249,0.1,0.739,0.463,0.347,False,Stationary
53,CVX,PP,-89.5652,0.0,-3.4313,-2.862,-2.567,True,Stationary
54,FCX,ADF,-31.1769,0.0,-3.4313,-2.862,-2.567,True,Stationary (I(0))
55,FCX,KPSS,0.0705,0.1,0.739,0.463,0.347,False,Stationary
56,FCX,PP,-82.1307,0.0,-3.4313,-2.862,-2.567,True,Stationary
57,NEM,ADF,-60.7821,0.0,-3.4313,-2.862,-2.567,True,Stationary (I(0))
58,NEM,KPSS,0.1041,0.1,0.739,0.463,0.347,False,Stationary
59,NEM,PP,-86.2028,0.0,-3.4313,-2.862,-2.567,True,Stationary
60,APA,ADF,-19.0299,0.0,-3.4313,-2.862,-2.567,True,Stationary (I(0))
61,APA,KPSS,0.118,0.1,0.739,0.463,0.347,False,Stationary
62,APA,PP,-79.34,0.0,-3.4313,-2.862,-2.567,True,Stationary
63,OXY,ADF,-15.1015,0.0,-3.4313,-2.862,-2.567,True,Stationary (I(0))
64,OXY,KPSS,0.1785,0.1,0.739,0.463,0.347,False,Stationary
65,OXY,PP,-84.1117,0.0,-3.4313,-2.862,-2.567,True,Stationary
66,TECK,ADF,-12.9415,0.0,-3.4314,-2.862,-2.567,True,Stationary (I(0))
67,TECK,KPSS,0.0886,0.1,0.739,0.463,0.347,False,Stationary
68,TECK,PP,-76.5751,0.0,-3.4314,-2.862,-2.567,True,Stationary
69,SM,ADF,-13.1988,0.0,-3.4313,-2.862,-2.567,True,Stationary (I(0))
70,SM,KPSS,0.0783,0.1,0.739,0.463,0.347,False,Stationary
71,SM,PP,-80.8639,0.0,-3.4313,-2.862,-2.567,True,Stationary
72,TGB,ADF,-88.2877,0.0,-3.4313,-2.862,-2.567,True,Stationary (I(0))
73,TGB,KPSS,0.1437,0.1,0.739,0.463,0.347,False,Stationary
74,TGB,PP,-88.2331,0.0,-3.4313,-2.862,-2.567,True,Stationary
75,GORO,ADF,-11.1042,0.0,-3.4321,-2.8623,-2.5672,True,Stationary (I(0))
76,GORO,KPSS,0.3212,0.1,0.739,0.463,0.347,False,Stationary
77,GORO,PP,-112.1567,0.0,-3.432,-2.8623,-2.5672,True,Stationary
78,SPY,ADF,-20.461,0.0,-3.4313,-2.862,-2.567,True,Stationary (I(0))
79,SPY,KPSS,0.4505,0.0554,0.739,0.463,0.347,False,Stationary
80,SPY,PP,-90.2368,0.0,-3.4313,-2.862,-2.567,True,Stationary
81,QQQ,ADF,-19.7424,0.0,-3.4313,-2.862,-2.567,True,Stationary (I(0))
