,CL=F,BZ=F,NG=F,GC=F,SI=F,HG=F,ZC=F,ZW=F,ZS=F,XLE,XLB,XLI,GDX,SIL,JETS,IYT,XOM,CVX,FCX,NEM,APA,OXY,TECK,SM,TGB,GORO,SPY,QQQ,IWM,IJH,MGC,^VIX,DX-Y.NYB,^TNX
CL=F,1.0,0.74820319077405,0.13767692362585207,0.11840081143330809,0.13943989458207384,0.18547721443653853,0.11505363331413741,0.09823751946924283,0.13851063043358214,0.3835730615262925,0.15437735888383922,0.1067012316978832,0.14743523034858344,0.14081928302175672,0.009315096643601589,0.08983914767657565,0.3074684251858731,0.3271750800819895,0.20648195090418758,0.11694118281958298,0.3685011228983559,0.36023225056057995,0.21039868754870866,0.3475231359151887,0.17163963147503533,0.0363322560645223,0.11342085570861712,0.07238699113141246,0.11585756675293499,0.13170070006618817,0.1627054923144228,-0.09823454190609565,-0.10802391959315263,0.12426315972752806
BZ=F,0.74820319077405,1.0,0.08622303119083366,0.10867846846701532,0.14752787073407642,0.21179860134408388,0.1349319745144297,0.11399660938585826,0.16242992175985765,0.40685366449126703,0.1953803503975142,0.15303264631626645,0.13645400546080777,0.12781313529528143,0.01796754367753642,0.1168462602611689,0.3362937778440384,0.3493682137097568,0.23497219494973107,0.11514751451663924,0.38591089159957387,0.38002621223758926,0.22985062547798982,0.37804088591877927,0.20009881879394253,0.03246200775545433,0.1585936943548534,0.11756544677982567,0.15659495693454573,0.1703765904987292,0.15769299039596044,-0.12696715208309794,-0.11648928533102043,0.1522432324094
NG=F,0.13767692362585207,0.08622303119083366,1.0,0.02615000483196019,0.02762165374700673,0.03629913029424243,0.06385076450830618,0.04694671096436075,0.058273317187436585,0.13567839972508627,0.03395216969625163,0.011453434672139332,0.02616686567519331,0.015342440575797481,-0.005933203952533068,0.009950121590885474,0.08674960750532179,0.09867856312648644,0.04713962791610226,0.03048971703556641,0.14132911594650757,0.11191135739261529,0.05363378398573993,0.12909623133519954,0.039083910575724724,-0.005687175653933176,0.01819989712637414,0.009433136846449182,0.01841068964294366,0.0316237423229142,0.026708430335835334,-0.011913220955122131,-0.029654525500428273,0.017311963123996736
GC=F,0.11840081143330809,0.10867846846701532,0.02615000483196019,1.0,0.5815898651809793,0.21354407701375916,0.07628498650424324,0.07206239322701813,0.07919871247415991,0.07394464314528536,0.08418967909323306,-0.004554220430956105,0.4918028788605769,0.45743388756747383,-0.01925481811263838,-0.005182433618939201,0.04808015394991768,0.05875502610514625,0.1862607804003884,0.4154418430161988,0.06423322721765601,0.07555267340060735,0.17088550612848702,0.05692784907369784,0.18258605716234652,0.0935340358438075,0.0049593727766448145,-0.004819631191420862,0.014630860147502388,0.01677416821334803,0.023958580119647088,0.004156838448669658,-0.29808556529540314,-0.1288121862357105
SI=F,0.13943989458207384,0.14752787073407642,0.02762165374700673,0.5815898651809793,1.0,0.2902841596419165,0.09448746545506946,0.08161171623901264,0.11147840514027943,0.12134907087649378,0.1435610097169548,0.06335601802784446,0.45043369899831504,0.4830857327507872,0.05835684098744723,0.06070804526908776,0.08881957806856776,0.1013436491957309,0.24424630294370844,0.3599114371803918,0.10512785579834,0.1158203607804842,0.22364751627801335,0.0977176003656059,0.22300278567354548,0.09560374023273698,0.07275135639147598,0.05677588925152566,0.07878344711756836,0.08200800363309892,0.10249675662640495,-0.05561794973660338,-0.26024494384086005,-0.04879821354911514
HG=F,0.18547721443653853,0.21179860134408388,0.03629913029424243,0.21354407701375916,0.2902841596419165,1.0,0.09868776063085173,0.08200273400021461,0.14451482880481462,0.20704792154819932,0.24279799348523837,0.17404171559710468,0.2298854634039914,0.2548124526341113,0.14800161974031215,0.1533516683463649,0.16060771156212225,0.17747938526537685,0.35831366201425185,0.17097960150290692,0.17834580519077373,0.1803815205567561,0.33574145443368597,0.16235009868372624,0.2854998670173683,0.06056265973557637,0.1757029005126078,0.14427010076642585,0.17136999007415551,0.18476927859876924,0.2034375847072152,-0.1438097042827018,-0.17586415201469824,0.09556604840021629
ZC=F,0.11505363331413741,0.1349319745144297,0.06385076450830618,0.07628498650424324,0.09448746545506946,0.09868776063085173,1.0,0.41838072462565595,0.38793845256690695,0.10009431317161924,0.07631300346319908,0.04925253704286428,0.08539433654441089,0.06117767457486726,0.017431288323988766,0.039741333682804865,0.07780270633136382,0.08383401688463332,0.0905107360630794,0.05800316741769138,0.09159260121276715,0.09080645283193756,0.09678494060326598,0.0856594188446151,0.07079079962899198,0.03465313452156737,0.04520130534470142,0.031159456671162197,0.04003240816759836,0.04750732651577606,0.04583200390849795,-0.044685735339706406,-0.06835518265414806,0.037540874932312514
ZW=F,0.09823751946924283,0.11399660938585826,0.04694671096436075,0.07206239322701813,0.08161171623901264,0.08200273400021461,0.41838072462565595,1.0,0.25862483102211115,0.0772271119001574,0.06136233296957415,0.038660390667682086,0.07437915483434415,0.07213761172636081,0.006306657162787658,0.0336401400377468,0.06349509461380805,0.06844875869065828,0.07324629351619714,0.053817807635456454,0.0783375859512809,0.0754561516146698,0.0795110822147168,0.06658734708575852,0.058910089556462306,0.026659813747954092,0.03585354463029806,0.027997933985501183,0.036579184124365505,0.03968095904406024,0.044865056558090026,-0.03182831837934023,-0.07152265776117653,0.03117913287875357
ZS=F,0.13851063043358214,0.16242992175985765,0.058273317187436585,0.07919871247415991,0.11147840514027943,0.14451482880481462,0.38793845256690695,0.25862483102211115,1.0,0.12200250666629,0.10939688190600548,0.07565197061433963,0.10011084970951147,0.09259518977444657,0.04562076163025587,0.0645315553292454,0.10091510430610323,0.10402797314341641,0.12208195518688147,0.07076706551814411,0.11054140579761726,0.10571289358968677,0.12291903588520874,0.10144331787463665,0.09239371831502255,0.033741968012456686,0.06951823527215531,0.053536763072287025,0.07184204730359701,0.07971662003401513,0.07518976799819516,-0.06486797840449608,-0.09119995368803302,0.05309542139471095
XLE,0.3835730615262925,0.40685366449126703,0.13567839972508627,0.07394464314528536,0.12134907087649378,0.20704792154819932,0.10009431317161924,0.0772271119001574,0.12200250666629,1.0,0.4386697980568407,0.3951518545978346,0.20694983987037946,0.1956918787777633,0.2290605787093817,0.35497651445681166,0.6724932989370401,0.6883020414441262,0.37965460169516857,0.1828190475801256,0.6375718033779563,0.6467454979130828,0.35972113607904127,0.5186513199323322,0.2248718518704166,0.02971641643288943,0.3974790899711997,0.26994608352809657,0.3943408495738382,0.4331329393186234,0.4126940555694947,-0.3185348109728138,-0.0956671589847601,0.17702671689925173
