,CL=F,BZ=F,NG=F,GC=F,SI=F,HG=F,ZC=F,ZW=F,ZS=F,XLE,XLB,XLI,GDX,SIL,JETS,IYT,XOM,CVX,FCX,NEM,APA,OXY,TECK,SM,TGB,GORO,SPY,QQQ,IWM,IJH,MGC,^VIX,DX-Y.NYB,^TNX
CL=F,1.0,0.8784868930227442,0.17674898769786726,0.16367107318079907,0.1973941937463649,0.27458795493462884,0.1869259104145276,0.16718217610872327,0.2115230323172706,0.5231167024320235,0.23055853244132027,0.18368432341670926,0.2271588734183404,0.18979582883065324,0.05896494772754276,0.16593211875190358,0.4388833801265426,0.4643314628607054,0.3060467229808269,0.17166895152254477,0.5065186305638705,0.4915722821920062,0.3337800055314038,0.5113452420414671,0.21692268047816418,0.03759631500912847,0.20349447608723378,0.12143182062663499,0.18519649609273472,0.2158228086898662,0.2593498753544212,-0.1553649405107603,-0.13778372398167435,0.19144263085815813
BZ=F,0.8784868930227442,1.0,0.12198301172455453,0.14886254621213385,0.21209428552055257,0.3221659312994348,0.21660442746580758,0.1967834512548277,0.25299781185291903,0.5702424380903041,0.3127354366044841,0.2689593850801778,0.21184749516410298,0.1739296498851799,0.06983771234231242,0.21262647211723626,0.4965208735898231,0.5049110603823279,0.368193879942407,0.17669406724565276,0.5472791349428392,0.5381170559062124,0.3763363104145682,0.5508061155393087,0.2779458001082544,0.03977031329424951,0.2812706324460658,0.21087906303937573,0.25578105313245264,0.28496054228945233,0.27658484308354914,-0.20484430121119207,-0.15910271044947075,0.246744475615715
NG=F,0.17674898769786726,0.12198301172455453,1.0,0.05092623813243964,0.04952933642065879,0.051935972677388524,0.07890657972350576,0.06470815068705357,0.0808478461833906,0.17579329744866973,0.066128770851214,0.03954928028946112,0.05699035629640939,0.032975633947891575,0.019382941868477378,0.037095825832806975,0.11104937997188005,0.13293242733301347,0.07742228490025843,0.049764545576526896,0.16511299981755714,0.1224827468077463,0.08985191728916626,0.1499639684414531,0.057351552670133255,-0.0015409544747173715,0.05101750335732808,0.031515722504632485,0.04479689740297853,0.06510165539421775,0.06800427652287402,-0.030360421080740663,-0.0602671847952713,0.027901238523565824
GC=F,0.16367107318079907,0.14886254621213385,0.05092623813243964,1.0,0.7790695219381965,0.3288190537134161,0.13111530307496816,0.11896687566951637,0.12689844673949147,0.10252993245608819,0.1213493435609544,8.77280776334738e-06,0.6647108521437916,0.651282100769343,-0.001118851086084715,0.002036208261697319,0.06411532752202119,0.08112583671653016,0.2590031433021155,0.5708805808500264,0.07531903277716084,0.08605120637471143,0.21613945562795794,0.05218466227549507,0.24721294079208075,0.06382366218503747,0.004602531213345318,-0.009216487958032309,0.024460165182921344,0.02969751463443309,0.03590065355993904,-0.00126039176873866,-0.40015306807237655,-0.15834289089791265
SI=F,0.1973941937463649,0.21209428552055257,0.04952933642065879,0.7790695219381965,1.0,0.42345125926085414,0.15929322712993593,0.13573038141315355,0.17519703757727492,0.18833370881034614,0.22492796720510752,0.11807040563730714,0.5923714540707076,0.6497853293887287,0.10850002702732066,0.10694956649706054,0.13522553947363614,0.16064372875134306,0.33542867000675214,0.48026004186151855,0.1541340719786629,0.15802876939369281,0.29518911755219046,0.13051840827623234,0.3091386330971313,0.06436702293570255,0.12377976402128107,0.09067875253771156,0.13549380590865365,0.14253015277838862,0.15597581256803372,-0.10262863185670847,-0.355095913981523,-0.044788561398634366
HG=F,0.27458795493462884,0.3221659312994348,0.051935972677388524,0.3288190537134161,0.42345125926085414,1.0,0.17294472897680707,0.15311946502212614,0.2307902359067416,0.3155316560802883,0.36346549880580004,0.2771166353992319,0.3346229264859346,0.36864276699164417,0.21428576026091495,0.24595380461334593,0.24376186007103737,0.27642499326673237,0.49279268334342435,0.24623340116345344,0.2501983956127586,0.25784143805713816,0.4453959767397636,0.2272196736928169,0.3813342555766848,0.041178834992022614,0.2706337711418112,0.2058671844474446,0.25116692833498117,0.2800408928132468,0.3009335473473206,-0.2211468808801757,-0.2700527148328048,0.14275136044081385
ZC=F,0.1869259104145276,0.21660442746580758,0.07890657972350576,0.13111530307496816,0.15929322712993593,0.17294472897680707,1.0,0.5760900671652243,0.5297689888918222,0.15940232971479978,0.14011607324139533,0.0943258617998719,0.14976404094262522,0.09412948534168421,0.027928455873542642,0.07842400940706781,0.12152507800190614,0.1306434384075332,0.154814742021098,0.09703854142872184,0.1373113855249345,0.1441892271396182,0.15803394786275227,0.13452589231982448,0.1085239714362848,0.04315397213486689,0.09207165676679216,0.06000295208762542,0.07891049958775656,0.09182104709729272,0.0986790099146275,-0.07594259415624033,-0.12206729070832431,0.06778910371313145
ZW=F,0.16718217610872327,0.1967834512548277,0.06470815068705357,0.11896687566951637,0.13573038141315355,0.15311946502212614,0.5760900671652243,1.0,0.3646000963728127,0.1392069551097736,0.1216998590691181,0.08385767079763964,0.1202765463479214,0.09568133266531452,-0.007690305250321921,0.07166856737418717,0.11144596565723702,0.11687027159524908,0.13164465691318666,0.08210597976440052,0.11996882905238927,0.13035678654457397,0.13673715891649865,0.11392580072189903,0.09559189103635757,0.021148792772377998,0.08288220982850854,0.05207559154608086,0.08114415201932848,0.08427241689526772,0.0956312802430191,-0.05688093936674392,-0.11399849092480199,0.06207112901800147
ZS=F,0.2115230323172706,0.25299781185291903,0.0808478461833906,0.12689844673949147,0.17519703757727492,0.2307902359067416,0.5297689888918222,0.3646000963728127,1.0,0.19861518095498315,0.17914819004976718,0.1280235480283716,0.1789553635763555,0.13984572296804557,0.07941544627986674,0.11066392279146936,0.16196532941296735,0.16206404047430986,0.19860329620711922,0.1184141693454792,0.16316734546058476,0.1697436495648778,0.1898565197858354,0.15893491802377213,0.14154167238546222,0.047359295249449866,0.13126286391327507,0.09268314323965843,0.12185903652643343,0.1362079025090555,0.14594815419457274,-0.10696119844398262,-0.15277389877560726,0.09643658450344075
XLE,0.5231167024320235,0.5702424380903041,0.17579329744866973,0.10252993245608819,0.18833370881034614,0.3155316560802883,0.15940232971479978,0.1392069551097736,0.19861518095498315,1.0,0.6776030059722149,0.6408048766073116,0.3334080843618622,0.29354338992653756,0.47070017656646557,0.5977502036211952,0.8800862219927497,0.8933125468466746,0.5812427469821345,0.28781504485528064,0.8029892209515278,0.827395167721948,0.5707078884402599,0.690200203880337,0.31986901164822124,0.034870726783265374,0.6572796161772833,0.4227069433217483,0.6410634317818058,0.6918791140244795,0.6984568380285795,-0.49087233279565723,-0.1525195874450123,0.3079211061407997
