,CL=F,BZ=F,NG=F,GC=F,SI=F,HG=F,ZC=F,ZW=F,ZS=F,XLE,XLB,XLI,GDX,SIL,JETS,IYT,XOM,CVX,FCX,NEM,APA,OXY,TECK,SM,TGB,GORO,SPY,QQQ,IWM,IJH,MGC,^VIX,DX-Y.NYB,^TNX
CL=F,1.0,0.8918500991732409,0.2026507030821797,0.17212098684970598,0.20395540303653206,0.26999268568861673,0.17140241789161248,0.14590672205457952,0.20518516713967525,0.536242739535613,0.22225134584387882,0.154209926863148,0.2130887974470873,0.20393905509158605,0.01299299620182202,0.12991180102381988,0.43778677515625414,0.46318386978358944,0.2959223273284086,0.17069051583715994,0.5182015536729647,0.5083419060371137,0.3023215234606168,0.4933230166055039,0.24836848440636358,0.04974994204416617,0.16399871873678135,0.10495933451837723,0.16752623659281102,0.19008984375835455,0.23291313601287983,-0.14423854974854214,-0.15790272563479368,0.18218033147940077
BZ=F,0.8918500991732409,1.0,0.12739873640391386,0.15766102203138377,0.21526748231643505,0.30728430882520774,0.200236986604305,0.16906395038315036,0.2396453116016754,0.565298504190773,0.2797971016029189,0.22046238074909885,0.19789026869872292,0.186202721043898,0.025211413180758365,0.16853746922997068,0.4765111947448733,0.4922158409723043,0.33505797158145123,0.16779924913790464,0.5404821246370773,0.5336927249087466,0.3285513333083844,0.5307889573288723,0.28847220504437143,0.04418573848435913,0.22819374761187297,0.17003005014031827,0.2253304001328017,0.24476226248867158,0.22700646574897881,-0.186084322419184,-0.17027200217769584,0.2224313495968345
NG=F,0.2026507030821797,0.12739873640391386,1.0,0.03905451932396466,0.04143579403912133,0.05422839312241373,0.09588900734149099,0.07019805517896521,0.08728901617792352,0.20082060921864794,0.05100754974589178,0.017319087632542026,0.03886329121514648,0.022936147755701488,-0.008178565491343682,0.015143134274807494,0.12882235141745713,0.14619702782167407,0.0702486434292273,0.045592924568254,0.20893616636650494,0.1658930020992683,0.08006846892628583,0.1917133071692667,0.05780511325844438,-0.007723315814508349,0.027293960650711865,0.013996041287159663,0.02752689312183862,0.04721145932033854,0.04004064063321791,-0.017875310952278938,-0.04447859539635516,0.02591541888359693
GC=F,0.17212098684970598,0.15766102203138377,0.03905451932396466,1.0,0.7675438618627565,0.30837917226397915,0.11346425002280465,0.10699372901865435,0.11731263197372109,0.10761265745201143,0.12267815035521638,-0.006699453634539635,0.6629762916027195,0.6293314873803061,-0.028274757783425145,-0.0076189034201342,0.07017928626525298,0.08574861735091499,0.27005028654821245,0.57675974605756,0.09391808649695065,0.1099617608833876,0.2481418364137084,0.08374587241092632,0.26444467555495144,0.12739525503775173,0.006836454672833475,-0.006840203103419493,0.021399784230673374,0.024524648263267432,0.03432988015801662,0.006130618134533944,-0.4268051132845247,-0.18833422460805957
SI=F,0.20395540303653206,0.21526748231643505,0.04143579403912133,0.7675438618627565,1.0,0.41522415702518467,0.1401659775499513,0.12105196045027017,0.16513487151885245,0.17752563657086032,0.2098973543952919,0.09361447277353069,0.6194416917901635,0.6586742089202501,0.08565310067312373,0.08926482194079315,0.13029553920150222,0.1486362638932164,0.35335974817904015,0.5109882759280383,0.1545303670591225,0.16894705700036283,0.32383291553375537,0.144434723088674,0.32407854573627837,0.1300742092448641,0.10736651504689242,0.084385070052636,0.11610301372546838,0.12074924852940928,0.14968427691786296,-0.08274007695136833,-0.37806253550964947,-0.07151897805334448
HG=F,0.26999268568861673,0.30728430882520774,0.05422839312241373,0.30837917226397915,0.41522415702518467,1.0,0.14575955630179976,0.12173870664283701,0.21307010681535082,0.30033272717422754,0.35108109368647905,0.25526287161757094,0.33259164109015593,0.36958251007089404,0.21785414670653772,0.22391295096706337,0.2351159159314118,0.2592899707430285,0.5067468192521427,0.2507356574253208,0.26165644246338887,0.2624246765409422,0.47722749317801794,0.23835774902697943,0.40860536361218525,0.08190372989301908,0.25719696459599783,0.2128385899473721,0.24985784334422179,0.2698230540833328,0.2940740641570696,-0.21337491924535332,-0.25639685651109256,0.14162937542023935
ZC=F,0.17140241789161248,0.200236986604305,0.09588900734149099,0.11346425002280465,0.1401659775499513,0.14575955630179976,1.0,0.5826406939900461,0.5413405573409573,0.14819892480266345,0.11327176674604932,0.07349880544406204,0.12719009102835563,0.09110669195738763,0.026111568970838776,0.05944458045410444,0.11576017832390045,0.12453216459181157,0.13429979176097118,0.08671478922891139,0.13663469722024316,0.1347153841429692,0.1433335415668655,0.12789920335183122,0.10511011150017112,0.04729042939475303,0.06735572334402672,0.046441080242137944,0.05956201692220901,0.070737018214256,0.06805486495915206,-0.06663615055625488,-0.10168227565815091,0.05611657094356753
ZW=F,0.14590672205457952,0.16906395038315036,0.07019805517896521,0.10699372901865435,0.12105196045027017,0.12173870664283701,0.5826406939900461,1.0,0.37471972311619633,0.11448478150930926,0.09078330662655865,0.05758716347194944,0.11059239672587932,0.10755517442847765,0.009083800701153713,0.04995396224945424,0.09424491265256013,0.10185208033150221,0.10879509209230344,0.08029557175971974,0.11666265236147476,0.11178877088771065,0.11768563343012063,0.0996740107147396,0.08749085619285449,0.03659373603022686,0.053219198938647454,0.04179718688099026,0.05447029876246755,0.05893168689394462,0.0666327764888207,-0.0475736163809439,-0.10605487387169975,0.04668435045875003
ZS=F,0.20518516713967525,0.2396453116016754,0.08728901617792352,0.11731263197372109,0.16513487151885245,0.21307010681535082,0.5413405573409573,0.37471972311619633,1.0,0.1804809781038516,0.1619688849321788,0.11244067588030814,0.14826140932317855,0.13805269509376994,0.06788177336850792,0.09584319144339687,0.14993331190550688,0.15451644947922766,0.1808886458362492,0.10548716064624383,0.16478211203989124,0.15699716387328488,0.1818822853142916,0.15178016617470427,0.13677384382726723,0.04598342460373844,0.10332993313934283,0.0795658580302208,0.10665375068692594,0.11835500183016856,0.11118007516099764,-0.09694596202332675,-0.13529856179890035,0.07932545595846244
XLE,0.536242739535613,0.565298504190773,0.20082060921864794,0.10761265745201143,0.17752563657086032,0.30033272717422754,0.14819892480266345,0.11448478150930926,0.1804809781038516,1.0,0.6003098094875872,0.5469146090987422,0.295450293487128,0.2819767855611898,0.3243859698220299,0.49575442182071433,0.8488334062490742,0.8632106043403278,0.5285647378421879,0.26323956407065285,0.8182468082947588,0.8260182190492819,0.5042684230520338,0.6963096532253721,0.3225228715685918,0.04086048233316433,0.5472929445242796,0.38127065824410794,0.546484469527867,0.5931770785821818,0.5616812384753933,-0.4552667237538934,-0.14044218258788393,0.2572051768924354
XLB,0.22225134584387882,0.2797971016029189,0.05100754974589178,0.12267815035521638,0.2098973543952919,0.35108109368647905,0.11327176674604932,0.09078330662655865,0.1619688849321788,0.6003098094875872,1.0,0.7736266559932893,0.39007182267094126,0.40604766853963514,0.5563407183352586,0.7156992152511462,0.5234220239639427,0.5366846487278742,0.6442905401590225,0.33788342162200546,0.4694327684126182,0.5040591623705619,0.5691783490747315,0.4247620931501654,0.366978616798236,0.06996045322235972,0.738062638754382,0.5860263932522897,0.7253006485298433,0.7752213407270482,0.7559767885813603,-0.6095814094828512,-0.17435993735069993,0.22523182626410004
XLI,0.154209926863148,0.22046238074909885,0.017319087632542026,-0.006699453634539635,0.09361447277353069,0.25526287161757094,0.07349880544406204,0.05758716347194944,0.11244067588030814,0.5469146090987422,0.7736266559932893,1.0,0.22028208764598187,0.2619024304842622,0.654139438402395,0.8409839106264675,0.49436335008513743,0.4951078714738768,0.48962977388503454,0.16300731846710434,0.42373596429965193,0.44283315265148926,0.46256889735934453,0.3885625449285229,0.2882453369430697,0.03606500456023033,0.8386276144862624,0.6830305774780232,0.7976960901688034,0.845740564494299,0.8305781154838898,-0.6700800748077628,-0.08460304982693063,0.26493795849873947
