,asset_a,asset_b,method,correlation,pvalue
427,SPY,MGC,spearman,0.9898,0.0
435,IWM,IJH,spearman,0.9421,0.0
242,GDX,SIL,spearman,0.913,0.0
432,QQQ,MGC,spearman,0.9059,0.0
0,CL=F,BZ=F,spearman,0.8919,0.0
426,SPY,IJH,spearman,0.8815,0.0
247,GDX,NEM,spearman,0.8723,0.0
424,SPY,QQQ,spearman,0.8716,0.0
184,XLE,CVX,spearman,0.8632,0.0
439,IJH,MGC,spearman,0.8569,0.0
425,SPY,IWM,spearman,0.8547,0.0
183,XLE,XOM,spearman,0.8488,0.0
238,XLI,IJH,spearman,0.8457,0.0
225,XLI,IYT,spearman,0.841,0.0
235,XLI,SPY,spearman,0.8386,0.0
239,XLI,MGC,spearman,0.8306,0.0
436,IWM,MGC,spearman,0.8298,0.0
188,XLE,OXY,spearman,0.826,0.0
187,XLE,APA,spearman,0.8182,0.0
311,IYT,IJH,spearman,0.813,0.0
316,XOM,CVX,spearman,0.8078,0.0
237,XLI,IWM,spearman,0.7977,0.0
310,IYT,IWM,spearman,0.7807,0.0
267,SIL,NEM,spearman,0.7771,0.0
217,XLB,IJH,spearman,0.7752,0.0
431,QQQ,IJH,spearman,0.7743,0.0
430,QQQ,IWM,spearman,0.774,0.0
442,MGC,^VIX,spearman,-0.7737,0.0
200,XLB,XLI,spearman,0.7736,0.0
428,SPY,^VIX,spearman,-0.7729,0.0
67,GC=F,SI=F,spearman,0.7675,0.0
308,IYT,SPY,spearman,0.7612,0.0
218,XLB,MGC,spearman,0.756,0.0
312,IYT,MGC,spearman,0.7499,0.0
374,APA,OXY,spearman,0.7386,0.0
214,XLB,SPY,spearman,0.7381,0.0
282,JETS,IYT,spearman,0.7313,0.0
216,XLB,IWM,spearman,0.7253,0.0
204,XLB,IYT,spearman,0.7157,0.0
334,CVX,OXY,spearman,0.7136,0.0
440,IJH,^VIX,spearman,-0.7099,0.0
320,XOM,OXY,spearman,0.699,0.0
190,XLE,SM,spearman,0.6963,0.0
437,IWM,^VIX,spearman,-0.6899,0.0
433,QQQ,^VIX,spearman,-0.6848,0.0
236,XLI,QQQ,spearman,0.683,0.0
376,APA,SM,spearman,0.6811,0.0
333,CVX,APA,spearman,0.6789,0.0
294,JETS,IJH,spearman,0.6765,0.0
349,FCX,TECK,spearman,0.6756,0.0
240,XLI,^VIX,spearman,-0.6701,0.0
293,JETS,IWM,spearman,0.6696,0.0
74,GC=F,GDX,spearman,0.663,0.0
91,SI=F,SIL,spearman,0.6587,0.0
309,IYT,QQQ,spearman,0.6556,0.0
319,XOM,APA,spearman,0.6552,0.0
224,XLI,JETS,spearman,0.6541,0.0
207,XLB,FCX,spearman,0.6443,0.0
387,OXY,SM,spearman,0.6338,0.0
75,GC=F,SIL,spearman,0.6293,0.0
313,IYT,^VIX,spearman,-0.62,0.0
90,SI=F,GDX,spearman,0.6194,0.0
219,XLB,^VIX,spearman,-0.6096,0.0
177,XLE,XLB,spearman,0.6003,0.0
195,XLE,IJH,spearman,0.5932,0.0
291,JETS,SPY,spearman,0.5887,0.0
215,XLB,QQQ,spearman,0.586,0.0
134,ZC=F,ZW=F,spearman,0.5826,0.0
77,GC=F,NEM,spearman,0.5768,0.0
211,XLB,TECK,spearman,0.5692,0.0
336,CVX,SM,spearman,0.5655,0.0
38,BZ=F,XLE,spearman,0.5653,0.0
196,XLE,MGC,spearman,0.5617,0.0
295,JETS,MGC,spearman,0.5614,0.0
203,XLB,JETS,spearman,0.5563,0.0
192,XLE,SPY,spearman,0.5473,0.0
178,XLE,XLI,spearman,0.5469,0.0
194,XLE,IWM,spearman,0.5465,0.0
322,XOM,SM,spearman,0.5422,0.0
135,ZC=F,ZS=F,spearman,0.5413,0.0
48,BZ=F,APA,spearman,0.5405,0.0
356,FCX,MGC,spearman,0.539,0.0
206,XLB,CVX,spearman,0.5367,0.0
8,CL=F,XLE,spearman,0.5362,0.0
49,BZ=F,OXY,spearman,0.5337,0.0
51,BZ=F,SM,spearman,0.5308,0.0
185,XLE,FCX,spearman,0.5286,0.0
355,FCX,IJH,spearman,0.5252,0.0
205,XLB,XOM,spearman,0.5234,0.0
18,CL=F,APA,spearman,0.5182,0.0
342,CVX,MGC,spearman,0.5142,0.0
341,CVX,IJH,spearman,0.512,0.0
95,SI=F,NEM,spearman,0.511,0.0
19,CL=F,OXY,spearman,0.5083,0.0
324,XOM,SPY,spearman,0.5074,0.0
119,HG=F,FCX,spearman,0.5067,0.0
189,XLE,TECK,spearman,0.5043,0.0
210,XLB,OXY,spearman,0.5041,0.0
327,XOM,IJH,spearman,0.5031,0.0
338,CVX,SPY,spearman,0.5031,0.0
354,FCX,IWM,spearman,0.502,0.0
182,XLE,IYT,spearman,0.4958,0.0
227,XLI,CVX,spearman,0.4951,0.0
328,XOM,MGC,spearman,0.4949,0.0
403,TECK,MGC,spearman,0.4947,0.0
226,XLI,XOM,spearman,0.4944,0.0
21,CL=F,SM,spearman,0.4933,0.0
45,BZ=F,CVX,spearman,0.4922,0.0
301,IYT,FCX,spearman,0.4914,0.0
296,JETS,^VIX,spearman,-0.4906,0.0
228,XLI,FCX,spearman,0.4896,0.0
266,SIL,FCX,spearman,0.4893,0.0
402,TECK,IJH,spearman,0.4892,0.0
398,TECK,TGB,spearman,0.4885,0.0
352,FCX,SPY,spearman,0.4863,0.0
292,JETS,QQQ,spearman,0.4833,0.0
392,OXY,IJH,spearman,0.4813,0.0
