,source,target,optimal_lag,peak_ccf,pvalue,significant,time_to_25pct,time_to_50pct,time_to_75pct,time_to_90pct,time_to_95pct
0,CL=F,XOM,0,0.4389,0.0,True,,,,,
1,CL=F,CVX,0,0.4643,0.0,True,,,,,
2,CL=F,FCX,0,0.306,0.0,True,,,,,
3,CL=F,NEM,0,0.1717,0.0,True,,,,,
4,CL=F,APA,0,0.5065,0.0,True,,,,,
5,CL=F,OXY,0,0.4916,0.0,True,,,,,
6,CL=F,TECK,0,0.3338,0.0,True,,,,,
7,CL=F,SM,0,0.5113,0.0,True,,,,,
8,CL=F,TGB,0,0.2169,0.0,True,,,,,
10,CL=F,XLE,0,0.5231,0.0,True,,,,,
11,CL=F,XLB,0,0.2306,0.0,True,,,,,
12,CL=F,XLI,0,0.1837,0.0,True,,,,,
14,CL=F,SIL,0,0.1898,0.0,True,,,,,
13,CL=F,GDX,0,0.2272,0.0,True,,,,,
15,CL=F,JETS,0,0.059,0.001643,True,,,,,
16,CL=F,IYT,0,0.1659,0.0,True,,,,,
24,BZ=F,SM,0,0.5508,0.0,True,,,,,
17,BZ=F,XOM,0,0.4965,0.0,True,,,,,
18,BZ=F,CVX,0,0.5049,0.0,True,,,,,
19,BZ=F,FCX,0,0.3682,0.0,True,,,,,
20,BZ=F,NEM,0,0.1767,0.0,True,,,,,
21,BZ=F,APA,0,0.5473,0.0,True,,,,,
22,BZ=F,OXY,0,0.5381,0.0,True,,,,,
23,BZ=F,TECK,0,0.3763,0.0,True,,,,,
30,BZ=F,GDX,0,0.2118,0.0,True,,,,,
25,BZ=F,TGB,0,0.2779,0.0,True,,,,,
27,BZ=F,XLE,0,0.5702,0.0,True,,,,,
28,BZ=F,XLB,0,0.3127,0.0,True,,,,,
31,BZ=F,SIL,0,0.1739,0.0,True,,,,,
29,BZ=F,XLI,0,0.269,0.0,True,,,,,
33,BZ=F,IYT,0,0.2126,0.0,True,,,,,
32,BZ=F,JETS,0,0.0698,0.00019,True,,,,,
60,GC=F,GORO,0,0.0638,7e-05,True,,,,,
54,GC=F,NEM,0,0.5709,0.0,True,,,,,
34,NG=F,XOM,0,0.111,0.0,True,,,,,
35,NG=F,CVX,0,0.1329,0.0,True,,,,,
36,NG=F,FCX,0,0.0774,0.0,True,,,,,
37,NG=F,NEM,0,0.0498,5.7e-05,True,,,,,
38,NG=F,APA,0,0.1651,0.0,True,,,,,
39,NG=F,OXY,0,0.1225,0.0,True,,,,,
40,NG=F,TECK,0,0.0899,0.0,True,,,,,
41,NG=F,SM,0,0.15,0.0,True,,,,,
42,NG=F,TGB,0,0.0574,3e-06,True,,,,,
44,NG=F,XLE,0,0.1758,0.0,True,,,,,
46,NG=F,XLI,0,0.0395,0.001382,True,,,,,
45,NG=F,XLB,0,0.0661,0.0,True,,,,,
47,NG=F,GDX,0,0.057,4.6e-05,True,,,,,
51,GC=F,XOM,0,0.0641,0.0,True,,,,,
62,GC=F,XLB,0,0.1213,0.0,True,,,,,
61,GC=F,XLE,0,0.1025,0.0,True,,,,,
53,GC=F,FCX,0,0.259,0.0,True,,,,,
52,GC=F,CVX,0,0.0811,0.0,True,,,,,
55,GC=F,APA,0,0.0753,0.0,True,,,,,
58,GC=F,SM,0,0.0522,2.4e-05,True,,,,,
57,GC=F,TECK,0,0.2161,0.0,True,,,,,
56,GC=F,OXY,0,0.0861,0.0,True,,,,,
59,GC=F,TGB,0,0.2472,0.0,True,,,,,
73,SI=F,OXY,0,0.158,0.0,True,,,,,
71,SI=F,NEM,0,0.4803,0.0,True,,,,,
70,SI=F,FCX,0,0.3354,0.0,True,,,,,
68,SI=F,XOM,0,0.1352,0.0,True,,,,,
69,SI=F,CVX,0,0.1606,0.0,True,,,,,
65,GC=F,SIL,0,0.6513,0.0,True,,,,,
64,GC=F,GDX,0,0.6647,0.0,True,,,,,
120,ZW=F,CVX,0,0.1169,0.0,True,,,,,
113,ZC=F,XLB,0,0.1401,0.0,True,,,,,
98,HG=F,GDX,0,0.3346,0.0,True,,,,,
99,HG=F,SIL,0,0.3686,0.0,True,,,,,
100,HG=F,JETS,0,0.2143,0.0,True,,,,,
101,HG=F,IYT,0,0.246,0.0,True,,,,,
102,ZC=F,XOM,0,0.1215,0.0,True,,,,,
72,SI=F,APA,0,0.1541,0.0,True,,,,,
76,SI=F,TGB,0,0.3091,0.0,True,,,,,
77,SI=F,GORO,0,0.0644,6.1e-05,True,,,,,
74,SI=F,TECK,0,0.2952,0.0,True,,,,,
75,SI=F,SM,0,0.1305,0.0,True,,,,,
78,SI=F,XLE,0,0.1883,0.0,True,,,,,
79,SI=F,XLB,0,0.2249,0.0,True,,,,,
81,SI=F,GDX,0,0.5924,0.0,True,,,,,
80,SI=F,XLI,0,0.1181,0.0,True,,,,,
88,HG=F,NEM,0,0.2462,0.0,True,,,,,
89,HG=F,APA,0,0.2502,0.0,True,,,,,
82,SI=F,SIL,0,0.6498,0.0,True,,,,,
83,SI=F,JETS,0,0.1085,0.0,True,,,,,
84,SI=F,IYT,0,0.1069,0.0,True,,,,,
85,HG=F,XOM,0,0.2438,0.0,True,,,,,
86,HG=F,CVX,0,0.2764,0.0,True,,,,,
87,HG=F,FCX,0,0.4928,0.0,True,,,,,
92,HG=F,SM,0,0.2272,0.0,True,,,,,
93,HG=F,TGB,0,0.3813,0.0,True,,,,,
90,HG=F,OXY,0,0.2578,0.0,True,,,,,
91,HG=F,TECK,0,0.4454,0.0,True,,,,,
94,HG=F,GORO,0,0.0412,0.010392,True,,,,,
95,HG=F,XLE,0,0.3155,0.0,True,,,,,
97,HG=F,XLI,0,0.2771,0.0,True,,,,,
96,HG=F,XLB,0,0.3635,0.0,True,,,,,
124,ZW=F,OXY,0,0.1304,0.0,True,,,,,
121,ZW=F,FCX,0,0.1316,0.0,True,,,,,
114,ZC=F,XLI,0,0.0943,0.0,True,,,,,
115,ZC=F,GDX,0,0.1498,0.0,True,,,,,
116,ZC=F,SIL,0,0.0941,0.0,True,,,,,
117,ZC=F,JETS,0,0.0279,0.136142,False,,,,,
118,ZC=F,IYT,0,0.0784,0.0,True,,,,,
103,ZC=F,CVX,0,0.1306,0.0,True,,,,,
104,ZC=F,FCX,0,0.1548,0.0,True,,,,,
105,ZC=F,NEM,0,0.097,0.0,True,,,,,
106,ZC=F,APA,0,0.1373,0.0,True,,,,,
107,ZC=F,OXY,0,0.1442,0.0,True,,,,,
108,ZC=F,TECK,0,0.158,0.0,True,,,,,
109,ZC=F,SM,0,0.1345,0.0,True,,,,,
110,ZC=F,TGB,0,0.1085,0.0,True,,,,,
112,ZC=F,XLE,0,0.1594,0.0,True,,,,,
126,ZW=F,SM,0,0.1139,0.0,True,,,,,
125,ZW=F,TECK,0,0.1367,0.0,True,,,,,
122,ZW=F,NEM,0,0.0821,0.0,True,,,,,
123,ZW=F,APA,0,0.12,0.0,True,,,,,
127,ZW=F,TGB,0,0.0956,0.0,True,,,,,
119,ZW=F,XOM,0,0.1114,0.0,True,,,,,
141,ZS=F,OXY,0,0.1697,0.0,True,,,,,
140,ZS=F,APA,0,0.1632,0.0,True,,,,,
136,ZS=F,XOM,0,0.162,0.0,True,,,,,
137,ZS=F,CVX,0,0.1621,0.0,True,,,,,
133,ZW=F,SIL,0,0.0957,0.0,True,,,,,
135,ZW=F,IYT,0,0.0717,0.0,True,,,,,
132,ZW=F,GDX,0,0.1203,0.0,True,,,,,
131,ZW=F,XLI,0,0.0839,0.0,True,,,,,
130,ZW=F,XLB,0,0.1217,0.0,True,,,,,
129,ZW=F,XLE,0,0.1392,0.0,True,,,,,
152,ZS=F,IYT,0,0.1107,0.0,True,,,,,
149,ZS=F,GDX,0,0.179,0.0,True,,,,,
146,ZS=F,XLE,0,0.1986,0.0,True,,,,,
147,ZS=F,XLB,0,0.1791,0.0,True,,,,,
148,ZS=F,XLI,0,0.128,0.0,True,,,,,
151,ZS=F,JETS,0,0.0794,2.2e-05,True,,,,,
150,ZS=F,SIL,0,0.1398,0.0,True,,,,,
144,ZS=F,TGB,0,0.1415,0.0,True,,,,,
142,ZS=F,TECK,0,0.1899,0.0,True,,,,,
143,ZS=F,SM,0,0.1589,0.0,True,,,,,
138,ZS=F,FCX,0,0.1986,0.0,True,,,,,
139,ZS=F,NEM,0,0.1184,0.0,True,,,,,
145,ZS=F,GORO,0,0.0474,0.003202,True,,,,,
63,GC=F,XLI,2,0.0382,0.002023,True,,,,,
26,BZ=F,GORO,3,0.0532,0.000924,True,,,,,
111,ZC=F,GORO,3,0.0509,0.001532,True,,,,,
128,ZW=F,GORO,3,0.0496,0.002021,True,,,,,
9,CL=F,GORO,4,-0.0538,0.000807,True,,,,,
134,ZW=F,JETS,5,-0.0451,0.016079,True,,,,,
48,NG=F,SIL,6,-0.0384,0.013742,True,,,,,
66,GC=F,JETS,7,-0.0515,0.005996,True,,,,,
67,GC=F,IYT,8,-0.0355,0.007381,True,,,,,
49,NG=F,JETS,9,0.055,0.003297,True,,,,,
43,NG=F,GORO,16,0.0275,0.086625,False,,,,,
50,NG=F,IYT,17,-0.0411,0.0019,True,,,,,
