,response,impulse,horizon,variance_share
0,CL=F,CL=F,1,1.0
1,CL=F,CL=F,2,0.9953251214473645
2,CL=F,CL=F,3,0.9939800102879044
3,CL=F,CL=F,4,0.9929477396171863
4,CL=F,CL=F,5,0.9916534550266835
5,CL=F,CL=F,6,0.9913742683073608
6,CL=F,CL=F,7,0.9895122941985598
7,CL=F,CL=F,8,0.9874017787462145
8,CL=F,CL=F,9,0.9870738402867505
9,CL=F,CL=F,10,0.9853590547648101
10,CL=F,CL=F,11,0.985341335176295
11,CL=F,CL=F,12,0.9853148122615638
12,CL=F,CL=F,13,0.985235337411405
13,CL=F,CL=F,14,0.9852314629525137
14,CL=F,CL=F,15,0.9852126921182125
15,CL=F,CL=F,16,0.9851997024489119
16,CL=F,CL=F,17,0.9851712030435594
17,CL=F,CL=F,18,0.9851676815241157
18,CL=F,CL=F,19,0.9851649452956125
19,CL=F,CL=F,20,0.9851630489313433
20,CL=F,SPY,1,0.0
21,CL=F,SPY,2,0.0007648851320085085
22,CL=F,SPY,3,0.0014811541390677583
23,CL=F,SPY,4,0.0024571836126128796
24,CL=F,SPY,5,0.0034536337444731795
25,CL=F,SPY,6,0.003687840807329903
26,CL=F,SPY,7,0.004657553181860449
27,CL=F,SPY,8,0.006339911061766657
28,CL=F,SPY,9,0.0063932516692480415
29,CL=F,SPY,10,0.006529676954109149
30,CL=F,SPY,11,0.006546505092842757
31,CL=F,SPY,12,0.006572092846622652
32,CL=F,SPY,13,0.006596552416182396
33,CL=F,SPY,14,0.00659676927641014
34,CL=F,SPY,15,0.006615546195208208
35,CL=F,SPY,16,0.006619188396648307
36,CL=F,SPY,17,0.0066353036213694875
37,CL=F,SPY,18,0.006637452838234769
38,CL=F,SPY,19,0.006639531207036227
39,CL=F,SPY,20,0.006641002642515061
40,CL=F,XOM,1,0.0
41,CL=F,XOM,2,0.003400622206589118
42,CL=F,XOM,3,0.00386571271421631
43,CL=F,XOM,4,0.003920673508995993
44,CL=F,XOM,5,0.004218448485564869
45,CL=F,XOM,6,0.004258127385303225
46,CL=F,XOM,7,0.004332693034136754
47,CL=F,XOM,8,0.0043187772149741125
48,CL=F,XOM,9,0.004349878808023979
49,CL=F,XOM,10,0.004644957136764758
50,CL=F,XOM,11,0.004645753336444348
51,CL=F,XOM,12,0.004646369829857364
52,CL=F,XOM,13,0.004658103776750171
53,CL=F,XOM,14,0.0046580468041579545
54,CL=F,XOM,15,0.004657923973795325
55,CL=F,XOM,16,0.004659081816468922
56,CL=F,XOM,17,0.004659062048519316
57,CL=F,XOM,18,0.004659144358692843
58,CL=F,XOM,19,0.004659319291801365
59,CL=F,XOM,20,0.004659311640527778
60,CL=F,CVX,1,0.0
61,CL=F,CVX,2,0.0005093712140378524
62,CL=F,CVX,3,0.0006731228588113895
63,CL=F,CVX,4,0.0006744032612047076
64,CL=F,CVX,5,0.0006744627432783514
65,CL=F,CVX,6,0.0006797635000058978
66,CL=F,CVX,7,0.0014974595854427937
67,CL=F,CVX,8,0.0019395329770444062
68,CL=F,CVX,9,0.0021830292359771596
69,CL=F,CVX,10,0.0034663111443156303
70,CL=F,CVX,11,0.0034664063944175806
71,CL=F,CVX,12,0.0034667250619558223
72,CL=F,CVX,13,0.003510006395662087
73,CL=F,CVX,14,0.003513720966917834
74,CL=F,CVX,15,0.003513837712783557
75,CL=F,CVX,16,0.003522027337970447
76,CL=F,CVX,17,0.0035344312865512894
77,CL=F,CVX,18,0.0035357212789562066
78,CL=F,CVX,19,0.0035362042055494566
79,CL=F,CVX,20,0.0035366367856133367
80,SPY,CL=F,1,0.043902335608259756
81,SPY,CL=F,2,0.04429668635277402
82,SPY,CL=F,3,0.044379651819993524
83,SPY,CL=F,4,0.045668721698750296
84,SPY,CL=F,5,0.046044606326285986
85,SPY,CL=F,6,0.046714579676848396
86,SPY,CL=F,7,0.04685324911461355
87,SPY,CL=F,8,0.04680365906925918
88,SPY,CL=F,9,0.04770081519338871
89,SPY,CL=F,10,0.048148190568247075
90,SPY,CL=F,11,0.048189193089385
91,SPY,CL=F,12,0.048189390842415525
92,SPY,CL=F,13,0.048188973148135125
93,SPY,CL=F,14,0.04819832280999411
94,SPY,CL=F,15,0.048203015805555145
95,SPY,CL=F,16,0.04822520176655838
96,SPY,CL=F,17,0.048232492774311964
97,SPY,CL=F,18,0.048232027531401996
98,SPY,CL=F,19,0.048231929247590635
99,SPY,CL=F,20,0.0482319935598783
100,SPY,SPY,1,0.9560976643917402
101,SPY,SPY,2,0.953747436422125
102,SPY,SPY,3,0.9531624200567587
103,SPY,SPY,4,0.9513467965779775
104,SPY,SPY,5,0.950478856406872
105,SPY,SPY,6,0.9495242626717627
106,SPY,SPY,7,0.9493164908416066
107,SPY,SPY,8,0.9489531435560894
108,SPY,SPY,9,0.9466735087133941
109,SPY,SPY,10,0.9447381153614813
110,SPY,SPY,11,0.9446896296946762
111,SPY,SPY,12,0.9446880790549734
112,SPY,SPY,13,0.9446869055781318
113,SPY,SPY,14,0.9446739041345315
114,SPY,SPY,15,0.9446623029370533
115,SPY,SPY,16,0.9446272143697289
116,SPY,SPY,17,0.9446019311067386
117,SPY,SPY,18,0.9445948022391214
118,SPY,SPY,19,0.9445938120811449
119,SPY,SPY,20,0.9445936893150979
120,SPY,XOM,1,0.0
121,SPY,XOM,2,0.0007592109610499074
122,SPY,XOM,3,0.0009403973432950606
123,SPY,XOM,4,0.0009942883023212894
124,SPY,XOM,5,0.0013047948468433996
125,SPY,XOM,6,0.0013479846002862085
126,SPY,XOM,7,0.0013490217915568
127,SPY,XOM,8,0.0017619917766367814
128,SPY,XOM,9,0.0028046280182814714
129,SPY,XOM,10,0.003440600043834185
130,SPY,XOM,11,0.0034452982377622403
131,SPY,XOM,12,0.0034453619835882457
132,SPY,XOM,13,0.003446817499168316
133,SPY,XOM,14,0.003448458914712941
134,SPY,XOM,15,0.003452517008519573
135,SPY,XOM,16,0.0034557004190008365
136,SPY,XOM,17,0.0034556413745756753
137,SPY,XOM,18,0.0034575156858815625
138,SPY,XOM,19,0.0034583178165846717
139,SPY,XOM,20,0.0034583181781290373
140,SPY,CVX,1,0.0
141,SPY,CVX,2,0.001196666264051072
142,SPY,CVX,3,0.001517530779952645
143,SPY,CVX,4,0.0019901934209507694
144,SPY,CVX,5,0.002171742419998435
145,SPY,CVX,6,0.002413173051102498
146,SPY,CVX,7,0.0024812382522227112
147,SPY,CVX,8,0.0024812055980143965
148,SPY,CVX,9,0.00282104807493562
149,SPY,CVX,10,0.0036730940264373367
150,SPY,CVX,11,0.0036758789781765667
151,SPY,CVX,12,0.003677168119022858
152,SPY,CVX,13,0.003677303774564905
153,SPY,CVX,14,0.0036793141407616683
154,SPY,CVX,15,0.003682164248872156
155,SPY,CVX,16,0.003691883444712158
156,SPY,CVX,17,0.0037099347443738996
157,SPY,CVX,18,0.003715654543595204
158,SPY,CVX,19,0.0037159408546799787
159,SPY,CVX,20,0.003715998946894869
160,XOM,CL=F,1,0.19740493570000767
161,XOM,CL=F,2,0.19654143901633891
162,XOM,CL=F,3,0.1960817387347075
163,XOM,CL=F,4,0.19648583599247796
164,XOM,CL=F,5,0.19660146527504968
165,XOM,CL=F,6,0.19767043163250153
166,XOM,CL=F,7,0.19848579267090138
167,XOM,CL=F,8,0.19828439118873317
168,XOM,CL=F,9,0.1983787850559508
169,XOM,CL=F,10,0.19756711672872296
170,XOM,CL=F,11,0.19756458143927577
171,XOM,CL=F,12,0.19756448105548274
172,XOM,CL=F,13,0.19755910008837818
173,XOM,CL=F,14,0.1975739551415469
174,XOM,CL=F,15,0.19757253159317234
175,XOM,CL=F,16,0.1975713614744516
176,XOM,CL=F,17,0.1975748024396541
177,XOM,CL=F,18,0.1975732735501262
178,XOM,CL=F,19,0.19757251408814544
179,XOM,CL=F,20,0.19757238385685716
180,XOM,SPY,1,0.27347076766398465
181,XOM,SPY,2,0.2776250982267504
182,XOM,SPY,3,0.27694772152864183
183,XOM,SPY,4,0.2767530717675863
184,XOM,SPY,5,0.2767146073325927
185,XOM,SPY,6,0.27612911845264837
186,XOM,SPY,7,0.27590022213946297
187,XOM,SPY,8,0.27594920995203004
188,XOM,SPY,9,0.2757503487022072
189,XOM,SPY,10,0.27593946032375455
190,XOM,SPY,11,0.2759463958909623
191,XOM,SPY,12,0.27594420418115984
192,XOM,SPY,13,0.27595578888627986
193,XOM,SPY,14,0.2759531529821665
194,XOM,SPY,15,0.27595387213608963
195,XOM,SPY,16,0.2759640966612931
196,XOM,SPY,17,0.27597345251706684
197,XOM,SPY,18,0.2759717923708169
198,XOM,SPY,19,0.2759735530304166
199,XOM,SPY,20,0.2759740278010089
200,XOM,XOM,1,0.5291242966360078
201,XOM,XOM,2,0.5241687222654975
202,XOM,XOM,3,0.5252967450151913
203,XOM,XOM,4,0.5249732150024509
204,XOM,XOM,5,0.5246389673174608
205,XOM,XOM,6,0.5241420627253544
206,XOM,XOM,7,0.5235572358474956
207,XOM,XOM,8,0.5236875861146404
208,XOM,XOM,9,0.523765151146354
209,XOM,XOM,10,0.5222362881986299
210,XOM,XOM,11,0.5222239754591376
211,XOM,XOM,12,0.5222191433693399
212,XOM,XOM,13,0.5222042799889869
213,XOM,XOM,14,0.5221921626840516
214,XOM,XOM,15,0.5221875487008394
215,XOM,XOM,16,0.5221697761094094
216,XOM,XOM,17,0.5221519367311096
217,XOM,XOM,18,0.5221482766682203
218,XOM,XOM,19,0.5221472084275826
219,XOM,XOM,20,0.5221468650204288
220,XOM,CVX,1,0.0
221,XOM,CVX,2,0.0016647404914132285
222,XOM,CVX,3,0.0016737947214594722
223,XOM,CVX,4,0.0017878772374849126
224,XOM,CVX,5,0.002044960074896817
225,XOM,CVX,6,0.002058387189495756
226,XOM,CVX,7,0.0020567493421400724
227,XOM,CVX,8,0.002078812744596403
228,XOM,CVX,9,0.0021057150954879706
229,XOM,CVX,10,0.004257134748892649
230,XOM,CVX,11,0.004265047210624215
231,XOM,CVX,12,0.004272171394017332
232,XOM,CVX,13,0.00428083103635488
233,XOM,CVX,14,0.004280729192235007
234,XOM,CVX,15,0.004286047569898465
235,XOM,CVX,16,0.004294765754845804
236,XOM,CVX,17,0.004299808312169272
237,XOM,CVX,18,0.004306657410836606
238,XOM,CVX,19,0.004306724453855407
239,XOM,CVX,20,0.0043067233217051444
240,CVX,CL=F,1,0.2196580020229158
241,CVX,CL=F,2,0.21810757473216894
242,CVX,CL=F,3,0.21772716088350905
243,CVX,CL=F,4,0.21805088181765014
244,CVX,CL=F,5,0.21794260170874685
245,CVX,CL=F,6,0.21810017233084877
246,CVX,CL=F,7,0.21974084324331397
247,CVX,CL=F,8,0.21955517176364597
248,CVX,CL=F,9,0.21944884425880642
249,CVX,CL=F,10,0.21865703224157704
250,CVX,CL=F,11,0.2186435583309482
251,CVX,CL=F,12,0.21864292076850728
252,CVX,CL=F,13,0.2186421408089915
253,CVX,CL=F,14,0.21868360857027885
254,CVX,CL=F,15,0.21868300296398804
255,CVX,CL=F,16,0.21867644824785318
256,CVX,CL=F,17,0.21866952284751548
257,CVX,CL=F,18,0.2186680148927488
258,CVX,CL=F,19,0.21866765236558391
259,CVX,CL=F,20,0.21866775870339056
260,CVX,SPY,1,0.29072553007248975
261,CVX,SPY,2,0.29326349057427487
262,CVX,SPY,3,0.2936418230102093
263,CVX,SPY,4,0.29350133529684713
264,CVX,SPY,5,0.29334063290034657
265,CVX,SPY,6,0.2933075649191125
266,CVX,SPY,7,0.29278039006438816
267,CVX,SPY,8,0.29395087035006745
268,CVX,SPY,9,0.2938083283910201
269,CVX,SPY,10,0.29466183669271256
270,CVX,SPY,11,0.29469750825689606
271,CVX,SPY,12,0.29469763827369433
272,CVX,SPY,13,0.2946984171865961
273,CVX,SPY,14,0.2947022599304572
274,CVX,SPY,15,0.29471954355285546
275,CVX,SPY,16,0.2947308154225322
276,CVX,SPY,17,0.29474838152221977
277,CVX,SPY,18,0.2947492075273424
278,CVX,SPY,19,0.2947504381522557
279,CVX,SPY,20,0.29475053640978555
280,CVX,XOM,1,0.2362645846179616
281,CVX,XOM,2,0.23461263779244612
282,CVX,XOM,3,0.23499951840955846
283,CVX,XOM,4,0.2348900440935448
284,CVX,XOM,5,0.23482113111858685
285,CVX,XOM,6,0.23484705459847088
286,CVX,XOM,7,0.23432294552239735
287,CVX,XOM,8,0.23357649923345347
288,CVX,XOM,9,0.23376538911931266
289,CVX,XOM,10,0.23358683629777902
290,CVX,XOM,11,0.23357165324005652
291,CVX,XOM,12,0.23357107679874997
292,CVX,XOM,13,0.23357119228583864
293,CVX,XOM,14,0.2335503531846589
294,CVX,XOM,15,0.23354524466423446
295,CVX,XOM,16,0.23353469741393496
