,cause,effect,lag,f_stat,pvalue,significant
0,CL=F,XOM,1,0.8694,0.351161,False
1,CL=F,XOM,2,0.9341,0.393002,False
2,CL=F,XOM,3,2.7031,0.043891,True
3,CL=F,XOM,4,2.7827,0.025216,True
4,CL=F,XOM,5,3.8004,0.00194,True
5,CL=F,XOM,6,4.2902,0.000253,True
6,CL=F,XOM,7,3.6185,0.000674,True
7,CL=F,XOM,8,3.6829,0.000269,True
8,CL=F,XOM,9,3.2857,0.000529,True
9,CL=F,XOM,10,2.9351,0.001113,True
10,CL=F,CVX,1,5.393,0.020249,True
11,CL=F,CVX,2,2.7814,0.062027,False
12,CL=F,CVX,3,3.6214,0.012531,True
13,CL=F,CVX,4,2.7502,0.02664,True
14,CL=F,CVX,5,2.7823,0.016258,True
15,CL=F,CVX,6,3.7682,0.000951,True
16,CL=F,CVX,7,3.2693,0.001807,True
17,CL=F,CVX,8,2.8953,0.003199,True
18,CL=F,CVX,9,2.7879,0.00291,True
19,CL=F,CVX,10,2.5506,0.004519,True
20,CL=F,FCX,1,0.0343,0.853079,False
21,CL=F,FCX,2,1.388,0.249652,False
22,CL=F,FCX,3,2.9991,0.029398,True
23,CL=F,FCX,4,2.4392,0.044839,True
24,CL=F,FCX,5,1.9699,0.079764,False
25,CL=F,FCX,6,2.5168,0.019583,True
26,CL=F,FCX,7,2.4246,0.01768,True
27,CL=F,FCX,8,2.3181,0.017603,True
28,CL=F,FCX,9,2.1616,0.021733,True
29,CL=F,FCX,10,1.9039,0.039969,True
30,CL=F,NEM,1,1.3735,0.24125,False
31,CL=F,NEM,2,2.2626,0.104166,False
32,CL=F,NEM,3,1.6141,0.18382,False
33,CL=F,NEM,4,3.2921,0.010532,True
34,CL=F,NEM,5,2.7738,0.016541,True
35,CL=F,NEM,6,3.772,0.000942,True
36,CL=F,NEM,7,3.6194,0.000672,True
37,CL=F,NEM,8,3.3235,0.000847,True
38,CL=F,NEM,9,3.2359,0.00063,True
39,CL=F,NEM,10,3.2629,0.000322,True
40,CL=F,APA,1,4.6306,0.031443,True
41,CL=F,APA,2,2.6834,0.068404,False
42,CL=F,APA,3,2.2033,0.085535,False
43,CL=F,APA,4,2.026,0.087975,False
44,CL=F,APA,5,2.6624,0.020713,True
45,CL=F,APA,6,2.2943,0.032491,True
46,CL=F,APA,7,2.0726,0.043008,True
47,CL=F,APA,8,1.8845,0.057878,False
48,CL=F,APA,9,1.8136,0.060674,False
49,CL=F,APA,10,1.9141,0.038706,True
50,CL=F,OXY,1,3.3896,0.065656,False
51,CL=F,OXY,2,1.699,0.182945,False
52,CL=F,OXY,3,1.9664,0.116731,False
53,CL=F,OXY,4,2.5473,0.03746,True
54,CL=F,OXY,5,3.6032,0.002952,True
55,CL=F,OXY,6,3.1262,0.004633,True
56,CL=F,OXY,7,2.7193,0.008142,True
57,CL=F,OXY,8,3.3034,0.000902,True
58,CL=F,OXY,9,3.8784,6.4e-05,True
59,CL=F,OXY,10,3.926,2.4e-05,True
60,CL=F,TECK,1,5.8251,0.015829,True
61,CL=F,TECK,2,5.6,0.003717,True
62,CL=F,TECK,3,5.5531,0.000839,True
63,CL=F,TECK,4,4.2561,0.00193,True
64,CL=F,TECK,5,3.2857,0.005765,True
65,CL=F,TECK,6,3.0421,0.00568,True
66,CL=F,TECK,7,2.9516,0.004351,True
67,CL=F,TECK,8,2.8255,0.003958,True
68,CL=F,TECK,9,2.4624,0.008464,True
69,CL=F,TECK,10,2.3881,0.008008,True
70,CL=F,SM,1,18.1685,2.1e-05,True
71,CL=F,SM,2,10.5801,2.6e-05,True
72,CL=F,SM,3,7.2669,7.3e-05,True
73,CL=F,SM,4,6.2901,4.8e-05,True
74,CL=F,SM,5,5.2184,8.7e-05,True
75,CL=F,SM,6,4.3435,0.000221,True
76,CL=F,SM,7,4.0707,0.000183,True
77,CL=F,SM,8,3.6104,0.000339,True
78,CL=F,SM,9,3.2757,0.000548,True
79,CL=F,SM,10,3.8681,3e-05,True
80,CL=F,TGB,1,2.7219,0.099031,False
81,CL=F,TGB,2,2.8725,0.05663,False
82,CL=F,TGB,3,4.0975,0.006478,True
83,CL=F,TGB,4,3.079,0.015213,True
84,CL=F,TGB,5,2.4832,0.029617,True
85,CL=F,TGB,6,2.242,0.036524,True
86,CL=F,TGB,7,2.5342,0.013289,True
87,CL=F,TGB,8,2.18,0.025975,True
88,CL=F,TGB,9,2.1063,0.025713,True
89,CL=F,TGB,10,1.9848,0.030902,True
90,CL=F,GORO,1,1.966,0.16095,False
91,CL=F,GORO,2,1.0814,0.339222,False
92,CL=F,GORO,3,4.4593,0.003926,True
93,CL=F,GORO,4,4.5625,0.001122,True
94,CL=F,GORO,5,3.8273,0.001844,True
95,CL=F,GORO,6,3.3688,0.002582,True
96,CL=F,GORO,7,3.1467,0.002562,True
97,CL=F,GORO,8,3.1029,0.001705,True
98,CL=F,GORO,9,2.7917,0.002899,True
99,CL=F,GORO,10,2.5619,0.004379,True
100,CL=F,XLE,1,0.1477,0.700758,False
101,CL=F,XLE,2,0.4566,0.633446,False
102,CL=F,XLE,3,2.6965,0.044283,True
103,CL=F,XLE,4,2.2651,0.059732,False
104,CL=F,XLE,5,2.4585,0.031098,True
105,CL=F,XLE,6,2.759,0.011141,True
106,CL=F,XLE,7,2.6392,0.010076,True
107,CL=F,XLE,8,2.6299,0.007107,True
108,CL=F,XLE,9,2.596,0.005487,True
109,CL=F,XLE,10,2.3719,0.008466,True
110,CL=F,XLB,1,1.6289,0.201905,False
111,CL=F,XLB,2,0.8262,0.437754,False
112,CL=F,XLB,3,3.0483,0.027496,True
113,CL=F,XLB,4,2.6093,0.033771,True
114,CL=F,XLB,5,2.4301,0.032894,True
115,CL=F,XLB,6,2.8172,0.009708,True
116,CL=F,XLB,7,2.4754,0.015494,True
117,CL=F,XLB,8,2.993,0.002372,True
118,CL=F,XLB,9,2.9185,0.001875,True
119,CL=F,XLB,10,2.832,0.00163,True
120,CL=F,XLI,1,0.6644,0.415037,False
121,CL=F,XLI,2,1.698,0.183128,False
122,CL=F,XLI,3,4.027,0.007145,True
123,CL=F,XLI,4,3.2793,0.010769,True
124,CL=F,XLI,5,2.7677,0.016746,True
125,CL=F,XLI,6,2.928,0.007462,True
126,CL=F,XLI,7,2.596,0.011295,True
127,CL=F,XLI,8,2.896,0.003192,True
128,CL=F,XLI,9,2.6895,0.004036,True
129,CL=F,XLI,10,2.5106,0.005208,True
130,CL=F,GDX,1,0.2213,0.6381,False
131,CL=F,GDX,2,0.0807,0.922458,False
132,CL=F,GDX,3,0.057,0.982132,False
133,CL=F,GDX,4,0.5556,0.694907,False
