,impulse,response,period,irf
0,CL=F,CL=F,0,0.026084987495639488
1,CL=F,CL=F,1,-0.00033994858174921317
2,CL=F,CL=F,2,-0.0007315364378904355
3,CL=F,CL=F,3,-0.0008232868055934659
4,CL=F,CL=F,4,0.0006988312639827519
5,CL=F,CL=F,5,-0.0003371871432588559
6,CL=F,CL=F,6,-0.0004988467261639056
7,CL=F,CL=F,7,0.0008688950276991178
8,CL=F,CL=F,8,-1.633860601075213e-05
9,CL=F,CL=F,9,-3.739759599023534e-05
10,CL=F,CL=F,10,-2.2496208343353267e-05
11,CL=F,CL=F,11,6.819392962625053e-05
12,CL=F,CL=F,12,-8.894381525858825e-05
13,CL=F,CL=F,13,-8.284461547699686e-05
14,CL=F,CL=F,14,7.117370349476643e-05
15,CL=F,CL=F,15,-6.987469061509909e-05
16,CL=F,CL=F,16,5.716086324608547e-05
17,CL=F,CL=F,17,1.5408655517775083e-05
18,CL=F,CL=F,18,1.417781737340461e-06
19,CL=F,CL=F,19,-1.8808832136447642e-05
20,CL=F,CL=F,20,-6.130103965010452e-06
21,CL=F,SPY,0,0.0025040342635739856
22,CL=F,SPY,1,-0.00033803174690289644
23,CL=F,SPY,2,0.00013369852736115626
24,CL=F,SPY,3,0.00044601137708342206
25,CL=F,SPY,4,-0.00025260832398291
26,CL=F,SPY,5,-0.0003230177751382431
27,CL=F,SPY,6,-0.00015678486562712912
28,CL=F,SPY,7,6.472595140439479e-05
29,CL=F,SPY,8,-0.0003862184037702346
30,CL=F,SPY,9,0.0002936914910209269
31,CL=F,SPY,10,8.052586299503013e-05
32,CL=F,SPY,11,6.438106320280294e-06
33,CL=F,SPY,12,-4.3621686253267384e-07
34,CL=F,SPY,13,-3.966760852848117e-05
35,CL=F,SPY,14,2.8319142043770705e-05
36,CL=F,SPY,15,-6.165932297479833e-05
37,CL=F,SPY,16,3.8385036152861194e-05
38,CL=F,SPY,17,-1.334845770354035e-07
39,CL=F,SPY,18,3.2336207404993133e-06
40,CL=F,SPY,19,3.3530230991623287e-06
41,CL=F,SPY,20,-1.3605790344647588e-06
42,CL=F,XOM,0,0.007226384304977631
43,CL=F,XOM,1,-0.000522299202260893
44,CL=F,XOM,2,-7.428358825064434e-05
45,CL=F,XOM,3,0.0003839813300653739
46,CL=F,XOM,4,0.00025552702939944547
47,CL=F,XOM,5,-0.0006320166240173611
48,CL=F,XOM,6,-0.0005316826464903952
49,CL=F,XOM,7,-3.760831024300517e-05
50,CL=F,XOM,8,-0.0002534254223563892
51,CL=F,XOM,9,0.00012255070188096058
52,CL=F,XOM,10,3.319533004377762e-05
53,CL=F,XOM,11,2.2043346917518532e-05
54,CL=F,XOM,12,-8.114200036612455e-06
55,CL=F,XOM,13,-7.276803913129166e-05
56,CL=F,XOM,14,1.2873701948942533e-05
57,CL=F,XOM,15,-4.308912386826259e-05
58,CL=F,XOM,16,5.370568370831287e-05
59,CL=F,XOM,17,-5.586284273545861e-06
60,CL=F,XOM,18,1.0133606247416076e-06
61,CL=F,XOM,19,6.996050435161035e-07
62,CL=F,XOM,20,8.450554940287464e-07
63,CL=F,CVX,0,0.007991108238216088
64,CL=F,CVX,1,-0.00015895513792034863
65,CL=F,CVX,2,-6.374334418456234e-05
66,CL=F,CVX,3,0.00035468955061194736
67,CL=F,CVX,4,-0.0001689229244592293
68,CL=F,CVX,5,-0.0003500269147678812
69,CL=F,CVX,6,-0.000796324238638407
70,CL=F,CVX,7,0.0003972512596323042
71,CL=F,CVX,8,-8.239463529944979e-05
72,CL=F,CVX,9,-7.046492987138582e-05
73,CL=F,CVX,10,1.7120931769155615e-05
74,CL=F,CVX,11,-4.871459446828663e-06
75,CL=F,CVX,12,1.2911641979458448e-05
76,CL=F,CVX,13,-0.00013731187360582585
77,CL=F,CVX,14,5.6811609084946266e-05
78,CL=F,CVX,15,-5.346107260895485e-05
79,CL=F,CVX,16,3.196171307907517e-05
80,CL=F,CVX,17,-4.473370063418327e-06
81,CL=F,CVX,18,9.992115026666306e-06
82,CL=F,CVX,19,7.905834085676687e-06
83,CL=F,CVX,20,-1.07674741189901e-05
84,SPY,CL=F,0,0.0
85,SPY,CL=F,1,0.0007231745553647161
86,SPY,CL=F,2,0.0007013619802405947
87,SPY,CL=F,3,-0.0008198812056706198
88,SPY,CL=F,4,0.0008300334680065662
89,SPY,CL=F,5,-0.00040282573297386286
90,SPY,CL=F,6,0.0008213714241990545
91,SPY,CL=F,7,0.0010838611137024786
92,SPY,CL=F,8,-0.00019592780688883364
93,SPY,CL=F,9,0.0003198825580423525
94,SPY,CL=F,10,-0.00010842323428400635
95,SPY,CL=F,11,0.00013378926889499778
96,SPY,CL=F,12,-0.00013185605748904653
97,SPY,CL=F,13,1.464122701557751e-05
98,SPY,CL=F,14,0.00011465430248315673
99,SPY,CL=F,15,-5.118333486080527e-05
100,SPY,CL=F,16,0.00010645948402314885
101,SPY,CL=F,17,-3.884496653881727e-05
102,SPY,CL=F,18,3.813841762527698e-05
103,SPY,CL=F,19,-3.2124258827678e-05
104,SPY,CL=F,20,-5.181473372688413e-07
105,SPY,SPY,0,0.01168550762513006
106,SPY,SPY,1,-0.0009549445931633332
107,SPY,SPY,2,-0.00020682274882256998
108,SPY,SPY,3,-8.988514064107718e-05
109,SPY,SPY,4,-0.000264944670357145
110,SPY,SPY,5,-0.00010689018557437999
111,SPY,SPY,6,-0.0002465834812501988
112,SPY,SPY,7,0.0004219598081250597
113,SPY,SPY,8,-0.00020750650401326557
114,SPY,SPY,9,0.00036342502415103904
115,SPY,SPY,10,-5.1132914952429465e-05
116,SPY,SPY,11,4.434513569046304e-06
117,SPY,SPY,12,-3.207115715604822e-05
118,SPY,SPY,13,-4.6575290021364746e-05
119,SPY,SPY,14,2.41860595808759e-05
120,SPY,SPY,15,-7.649994437811908e-05
121,SPY,SPY,16,6.556112194762308e-05
122,SPY,SPY,17,-1.7030931863562583e-05
123,SPY,SPY,18,1.8475847824271273e-05
124,SPY,SPY,19,-4.266101895269814e-06
125,SPY,SPY,20,-3.939807677886318e-06
126,SPY,XOM,0,0.00850545410140209
127,SPY,XOM,1,-0.0013442361130453322
128,SPY,XOM,2,-1.7055027843186502e-05
129,SPY,XOM,3,-5.627334718815715e-05
130,SPY,XOM,4,-0.00019490552560071908
131,SPY,XOM,5,2.5490181264281645e-05
132,SPY,XOM,6,0.00016407248582581133
133,SPY,XOM,7,0.0003009073612029444
134,SPY,XOM,8,-1.9743759259245316e-05
135,SPY,XOM,9,0.0006143578393341988
136,SPY,XOM,10,-6.614216649351951e-05
137,SPY,XOM,11,1.1108381058154323e-05
138,SPY,XOM,12,-7.25407060137925e-05
139,SPY,XOM,13,-3.2651670713584955e-05
140,SPY,XOM,14,3.1054218661378735e-05
141,SPY,XOM,15,-7.618070487806875e-05
142,SPY,XOM,16,7.252843876054731e-05
143,SPY,XOM,17,-1.3126003593812577e-05
144,SPY,XOM,18,2.7663317304315817e-05
145,SPY,XOM,19,-1.3358845392795639e-05
146,SPY,XOM,20,-5.074684109255809e-06
147,SPY,CVX,0,0.009193377301222152
148,SPY,CVX,1,-0.0011738150268984138
149,SPY,CVX,2,0.0005162982991437357
150,SPY,CVX,3,1.600382630062046e-05
151,SPY,CVX,4,-0.00018442947929588069
152,SPY,CVX,5,0.0003046022599127169
153,SPY,CVX,6,-0.00021611283641291565
154,SPY,CVX,7,0.0007935628085766339
155,SPY,CVX,8,-9.504898607473154e-05
156,SPY,CVX,9,0.000758436714221525
157,SPY,CVX,10,-0.00012802273098159883
158,SPY,CVX,11,-1.8054470409507002e-05
159,SPY,CVX,12,-2.7722329544192532e-05
160,SPY,CVX,13,-9.972654965181168e-05
161,SPY,CVX,14,9.863353158151163e-05
162,SPY,CVX,15,-9.91336630188358e-05
163,SPY,CVX,16,9.681031843950854e-05
164,SPY,CVX,17,-2.9607918386200208e-05
165,SPY,CVX,18,2.5408687468081317e-05
166,SPY,CVX,19,-8.417259993058718e-06
167,SPY,CVX,20,-1.6689048874632798e-05
168,XOM,CL=F,0,0.0
169,XOM,CL=F,1,0.0015248398067970125
170,XOM,CL=F,2,-0.0005689098298023914
171,XOM,CL=F,3,-0.00020767381122737782
172,XOM,CL=F,4,-0.00045859482941574024
173,XOM,CL=F,5,0.00016915040922752678
174,XOM,CL=F,6,0.00024088230181453898
175,XOM,CL=F,7,8.396683340471558e-06
176,XOM,CL=F,8,0.00015008711009025782
177,XOM,CL=F,9,-0.00045813597607277244
178,XOM,CL=F,10,2.47488137978556e-05
179,XOM,CL=F,11,-2.3156574486623403e-05
180,XOM,CL=F,12,9.184833138729984e-05
181,XOM,CL=F,13,2.374226456750565e-06
182,XOM,CL=F,14,5.545871045212393e-07
183,XOM,CL=F,15,2.9475940410226513e-05
184,XOM,CL=F,16,-9.758611542913411e-06
185,XOM,CL=F,17,8.353008530701291e-06
186,XOM,CL=F,18,-1.1416431713257904e-05
187,XOM,CL=F,19,1.6084543819465449e-06
188,XOM,CL=F,20,-5.668685510105758e-06
189,XOM,SPY,0,0.0
190,XOM,SPY,1,-0.00033079387832438476
191,XOM,SPY,2,-0.00016198663191515237
192,XOM,SPY,3,8.975883637024759e-05
193,XOM,SPY,4,-0.00021248818037856385
194,XOM,SPY,5,-8.040027748813713e-05
195,XOM,SPY,6,1.6717919347483073e-05
196,XOM,SPY,7,-0.000245583840414058
197,XOM,SPY,8,0.00039057678999154344
198,XOM,SPY,9,-0.00030681123283071634
199,XOM,SPY,10,2.6864280981581524e-05
200,XOM,SPY,11,-3.195419887722776e-06
201,XOM,SPY,12,-1.4731553346348424e-05
202,XOM,SPY,13,1.5957866025590667e-05
203,XOM,SPY,14,-2.451965064004988e-05
204,XOM,SPY,15,2.2478029141486557e-05
205,XOM,SPY,16,-4.540013725113124e-06
206,XOM,SPY,17,1.669582339352011e-05
207,XOM,SPY,18,-1.0908191117123547e-05
208,XOM,SPY,19,-4.3027806671909506e-07
209,XOM,SPY,20,-5.495686436126398e-07
210,XOM,XOM,0,0.011830984966765209
211,XOM,XOM,1,-0.00016067002224281576
212,XOM,XOM,2,-0.0008031087652534503
213,XOM,XOM,3,-0.00013506656990770554
214,XOM,XOM,4,4.4784718493211436e-05
215,XOM,XOM,5,0.00040740415970056255
216,XOM,XOM,6,-0.00010322749786202878
217,XOM,XOM,7,-0.00042648568292855013
218,XOM,XOM,8,0.0003512015252370795
219,XOM,XOM,9,-0.0004537345937400636
220,XOM,XOM,10,3.733615211024148e-05
221,XOM,XOM,11,6.949608494325132e-06
222,XOM,XOM,12,8.996258331449277e-07
223,XOM,XOM,13,9.36313229948012e-06
224,XOM,XOM,14,-1.4406051984905523e-05
225,XOM,XOM,15,3.054980173903577e-05
226,XOM,XOM,16,1.8213068760771115e-05
227,XOM,XOM,17,1.3619085775665873e-05
228,XOM,XOM,18,-1.6027570208796627e-05
229,XOM,XOM,19,-1.2255254747743834e-06
230,XOM,XOM,20,-2.4131943409087434e-06
231,XOM,CVX,0,0.008287676912502288
232,XOM,CVX,1,-0.0001782532543332751
233,XOM,CVX,2,-0.00048781454162621067
234,XOM,CVX,3,3.275766301245396e-05
235,XOM,CVX,4,0.0002115740863861938
