,event_type,asset,window_days,n_events,mean_CAR,std_CAR,t_stat,pvalue,significant,mean_CAR_pre
0,FOMC,CL=F,1,54,0.007372,0.067088,0.8,0.427298,False,-0.001474
1,FOMC,CL=F,3,54,0.002691,0.088195,0.2222,0.825041,False,-0.001474
2,FOMC,CL=F,5,54,0.002072,0.118017,0.1278,0.898757,False,-0.001474
3,FOMC,BZ=F,1,54,0.005662,0.043685,0.9436,0.34968,False,-0.002215
4,FOMC,BZ=F,3,54,0.000477,0.062404,0.0557,0.955814,False,-0.002215
5,FOMC,BZ=F,5,54,-0.000611,0.089315,-0.0498,0.960475,False,-0.002215
6,FOMC,NG=F,1,54,-0.008642,0.114863,-0.5477,0.586167,False,0.015651
7,FOMC,NG=F,3,54,-0.017865,0.140492,-0.9258,0.358772,False,0.015651
8,FOMC,NG=F,5,54,-0.013337,0.143127,-0.6784,0.500494,False,0.015651
9,FOMC,GC=F,1,54,0.000238,0.020379,0.0849,0.932687,False,-0.00714
10,FOMC,GC=F,3,54,-0.005905,0.030385,-1.4147,0.16301,False,-0.00714
11,FOMC,GC=F,5,54,-0.003793,0.031067,-0.8889,0.378098,False,-0.00714
12,FOMC,SI=F,1,54,0.000767,0.040523,0.1378,0.890951,False,-0.012755
13,FOMC,SI=F,3,54,-0.010553,0.071838,-1.0695,0.289706,False,-0.012755
14,FOMC,SI=F,5,54,-0.008239,0.066533,-0.9015,0.371409,False,-0.012755
15,FOMC,HG=F,1,54,-0.007536,0.040596,-1.3514,0.182314,False,-0.002083
16,FOMC,HG=F,3,54,-0.011577,0.041532,-2.0293,0.04746,True,-0.002083
17,FOMC,HG=F,5,54,-0.010519,0.047119,-1.6252,0.110051,False,-0.002083
18,FOMC,ZC=F,1,54,0.000873,0.02132,0.298,0.766879,False,0.009032
19,FOMC,ZC=F,3,54,0.002506,0.026759,0.6819,0.498292,False,0.009032
20,FOMC,ZC=F,5,54,-0.000539,0.032657,-0.1203,0.904735,False,0.009032
21,FOMC,ZW=F,1,54,-0.001468,0.029936,-0.357,0.722517,False,0.005198
22,FOMC,ZW=F,3,54,-0.002767,0.040703,-0.4949,0.622707,False,0.005198
23,FOMC,ZW=F,5,54,-0.004644,0.05439,-0.6216,0.53688,False,0.005198
24,FOMC,ZS=F,1,54,-0.000147,0.022614,-0.0473,0.962467,False,-0.000703
25,FOMC,ZS=F,3,54,0.003119,0.027602,0.8225,0.414458,False,-0.000703
26,FOMC,ZS=F,5,54,0.00389,0.033328,0.8497,0.399294,False,-0.000703
27,FOMC,XLE,1,54,-0.003382,0.026933,-0.9141,0.364811,False,-0.003782
28,FOMC,XLE,3,54,-0.006259,0.041533,-1.0971,0.277554,False,-0.003782
29,FOMC,XLE,5,54,-0.006061,0.048727,-0.9055,0.369302,False,-0.003782
30,FOMC,XLB,1,54,-0.002803,0.012513,-1.6308,0.108872,False,-0.00085
31,FOMC,XLB,3,54,-0.005138,0.017774,-2.1047,0.040079,True,-0.00085
32,FOMC,XLB,5,54,-0.004121,0.020688,-1.4501,0.152911,False,-0.00085
33,FOMC,XLI,1,54,-8e-06,0.009909,-0.0062,0.995078,False,0.000235
34,FOMC,XLI,3,54,-0.001685,0.012708,-0.9654,0.338722,False,0.000235
35,FOMC,XLI,5,54,-0.000956,0.015771,-0.4415,0.660654,False,0.000235
36,FOMC,GDX,1,54,0.00372,0.056782,0.4769,0.635398,False,-0.016845
37,FOMC,GDX,3,54,-0.004136,0.056015,-0.5376,0.5931,False,-0.016845
38,FOMC,GDX,5,54,-0.004905,0.066577,-0.5364,0.593938,False,-0.016845
39,FOMC,SIL,1,54,0.001891,0.051813,0.2657,0.791483,False,-0.017398
