,asset1,asset2,EG_stat,pvalue,cointegrated_95
0,CL=F,BZ=F,-4.2932,0.002624,True
1,CL=F,NG=F,-4.2963,0.002595,True
2,CL=F,GC=F,-3.2039,0.069284,False
3,CL=F,SI=F,-3.3405,0.049403,True
4,CL=F,HG=F,-3.2696,0.05904,False
5,CL=F,ZC=F,-4.2624,0.002929,True
6,CL=F,ZW=F,-4.7307,0.000499,True
7,CL=F,ZS=F,-4.7729,0.000421,True
8,CL=F,XOM,-3.3909,0.043366,True
9,CL=F,CVX,-3.4185,0.040338,True
10,CL=F,FCX,-3.5364,0.029305,True
11,CL=F,NEM,-3.2392,0.063619,False
12,CL=F,APA,-2.8934,0.137759,False
13,CL=F,OXY,-2.8163,0.160554,False
14,CL=F,TECK,-3.4416,0.03794,True
15,CL=F,SM,-3.4929,0.033031,True
16,BZ=F,NG=F,-3.4869,0.033573,True
17,BZ=F,GC=F,-3.1333,0.081807,False
18,BZ=F,SI=F,-3.2082,0.068573,False
19,BZ=F,HG=F,-2.6895,0.203377,False
20,BZ=F,ZC=F,-4.2394,0.003177,True
21,BZ=F,ZW=F,-3.9776,0.007727,True
22,BZ=F,ZS=F,-4.1495,0.004345,True
23,BZ=F,XOM,-3.0421,0.100543,False
24,BZ=F,CVX,-3.0822,0.091935,False
25,BZ=F,FCX,-2.9565,0.120907,False
26,BZ=F,NEM,-3.1259,0.083227,False
27,BZ=F,APA,-2.6113,0.232302,False
28,BZ=F,OXY,-2.4613,0.296389,False
29,BZ=F,TECK,-2.8646,0.145995,False
30,BZ=F,SM,-2.9835,0.114184,False
31,NG=F,GC=F,-3.0362,0.101855,False
32,NG=F,SI=F,-3.0558,0.097525,False
33,NG=F,HG=F,-3.0513,0.098503,False
34,NG=F,ZC=F,-3.3723,0.045523,True
35,NG=F,ZW=F,-4.0956,0.005222,True
36,NG=F,ZS=F,-3.4398,0.03812,True
37,NG=F,XOM,-3.1247,0.083455,False
38,NG=F,CVX,-3.1412,0.08032,False
39,NG=F,FCX,-3.1819,0.073009,False
40,NG=F,NEM,-3.0852,0.091309,False
41,NG=F,APA,-3.4845,0.033799,True
42,NG=F,OXY,-3.1226,0.083846,False
43,NG=F,TECK,-3.0784,0.092715,False
44,NG=F,SM,-3.3019,0.054476,False
45,GC=F,SI=F,-2.2116,0.41838,False
46,GC=F,HG=F,-3.121,0.084171,False
47,GC=F,ZC=F,-0.3187,0.975003,False
48,GC=F,ZW=F,-0.2402,0.978457,False
49,GC=F,ZS=F,-0.2846,0.976576,False
50,GC=F,XOM,-2.5278,0.266944,False
51,GC=F,CVX,-2.2019,0.423369,False
